name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"alamanni-tragedia-di-antigone","ita000001","Alamanni","0","Tragedia di Antigone","","","1527","10","false","1","1","1","several characters","9","1","","1527","9","10","3","7","0","","1","","1","0","1","12351","12177","0","0","1692"
"alfieri-agamennone","ita000002","Alfieri","0","Agamennone","","","1783","4","false","1","1","1","several characters","3","1","","1783","3","4","2","2","0","","1","1776/1778","25","0","5","10761","10638","51","0","1531"
"alfieri-antigone","ita000003","Alfieri","0","Antigone","","","1783","4","false","1","1","1","several characters","3","1","","1783","3","4","2","2","0","","1","","22","0","5","10507","10248","63","0","1519"
"alfieri-bruto-primo","ita000004","Alfieri","0","Bruto primo","","","1789","7","false","1","1","1","several characters","6","1","","1789","6","7","0","6","1","","1","1786/1787","20","0","5","10666","10292","120","0","1529"
"alfieri-bruto-secondo","ita000005","Alfieri","0","Bruto secondo","","","1789","9","false","0.7817460317460316","0.6944444444444444","1.3055555555555556","bruto","5.555555555555555","2","","1789","8","9","0","8","1","","1","","14","0","5","11801","11450","106","0","1628"
"alfieri-don-garzia","ita000006","Alfieri","0","Don Garzia","","","1789","5","false","0.9","0.9","1.1","cosimo|piero|garzia","3.6","2","","1789","4","5","1","4","0","","1","","23","0","5","11016","10893","53","1","1542"
"alfieri-filippo","ita000007","Alfieri","0","Filippo","","","1783","6","false","0.8444444444444444","0.8","1.2","filippo|gomez","4","2","","1783","5","6","1","5","0","","1","1775","24","0","5","11028","10906","50","0","1620"
"alfieri-la-congiura-de-pazzi","ita000008","Alfieri","0","La congiura de' Pazzi","","","1788","6","false","0.9","0.8","1.2","raimondo|guglielmo","4","2","","1788","5","6","1","5","0","","1","1777/1783","24","0","5","11880","11637","63","0","1619"
"alfieri-maria-stuarda","ita000009","Alfieri","0","Maria Stuarda","","","1788","5","false","0.9","0.9","1.1","maria|arrigo|botuello","3.6","2","","1788","4","5","1","4","0","","1","1778/1782","27","0","5","11409","11287","47","0","1629"
"alfieri-merope","ita000010","Alfieri","0","Merope","","","1783","6","false","1","1","1","several characters","5","1","","1783","5","6","1","4","1","","1","1782","21","0","5","11239","10896","57","0","1652"
"alfieri-mirra","ita000011","Alfieri","0","Mirra","","","1789","6","false","1","1","1","several characters","5","1","","1789","5","6","3","2","1","","1","1784/1786","22","0","5","11051","10803","65","4","1575"
"alfieri-oreste","ita000012","Alfieri","0","Oreste","","","1783","5","false","1","1","1","several characters","4","1","","1783","4","5","2","3","0","","1","1776/1777","30","0","5","11132","10952","93","0","1721"
"alfieri-ottavia","ita000013","Alfieri","0","Ottavia","","","1783","5","false","1","1","1","several characters","4","1","","1783","4","5","2","3","0","","1","1779/1782","27","0","5","11138","11001","60","0","1592"
