ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
558,893,1804,446,396,1079,34,2125,107,151,1478,1160,3492,137,1420,466,0,0,0
805,1967,3976,1189,1040,2252,59,3841,242,407,3818,2171,5996,637,2896,754,0,0,0
523,2069,3637,1008,841,1891,24,3475,268,147,3169,2405,5741,616,2428,958,0,0,0
588,1187,2398,1087,592,1884,7,2998,246,389,2933,1265,4566,218,2125,162,0,0,0
358,842,1668,699,398,1232,8,1886,96,306,1543,802,2124,165,1274,58,0,0,0
80,141,216,55,56,273,2,446,17,37,294,242,564,16,254,33,0,0,0
449,1168,2162,574,541,1349,14,2519,203,242,1926,2046,3410,149,1680,132,0,0,0
496,1103,2118,559,659,1247,26,2526,237,203,2038,2161,3609,198,1786,422,0,0,0
579,1957,3972,1781,815,2100,12,3681,267,674,4849,2302,6436,573,3497,233,0,0,0
198,457,535,113,144,609,1,1270,163,60,490,823,1099,39,550,74,0,0,0
559,962,1754,878,483,1824,18,2862,125,386,2390,1032,3871,303,1845,143,0,0,0
772,1190,1895,436,686,2073,5,3191,366,323,2074,1732,2939,203,1758,186,0,0,0
1064,1677,2915,685,754,2389,4,4156,482,488,3036,2253,4496,313,2637,223,0,0,0
316,806,1574,570,394,999,3,1968,132,303,1709,1245,3048,219,1329,109,0,0,0
633,1533,3524,586,968,2199,3,3570,354,409,2755,2376,4992,257,2299,208,0,0,0
930,1959,2549,1134,608,2645,7,4102,239,433,2737,1799,4933,356,2355,157,0,0,0
537,1356,2151,694,545,1961,4,3098,306,374,2402,2242,3880,269,2061,196,0,0,0
836,1752,2074,1053,597,2892,4,3996,135,442,2850,1098,4376,468,2366,102,0,0,0
881,1742,2280,1200,634,3084,6,4622,238,530,2737,1695,5140,412,2484,140,0,0,0
758,1799,2723,1439,961,2508,2,3481,156,559,3636,1647,4357,639,2810,154,0,0,0
789,1584,2798,1411,913,2297,2,3621,219,516,3297,1042,4218,607,2785,72,0,0,0
114,415,862,185,224,491,1,739,89,157,850,576,1052,145,664,62,0,0,0
612,1906,3751,1446,1144,2241,9,3479,146,722,4316,1684,5584,747,3429,113,0,0,0
294,994,1957,642,646,1370,1,2368,288,274,2210,1394,2922,200,1774,237,0,0,0
605,1745,3198,869,871,2451,19,4135,472,441,2731,3005,5252,365,2461,313,0,0,0
333,1206,1477,514,537,1495,2,2288,281,204,1792,1895,2902,143,1483,171,0,0,0
804,1761,3816,813,352,1940,69,4246,292,215,2214,3326,5592,283,2215,1261,0,0,0
792,1644,3323,1511,880,2429,19,3748,261,567,3695,2008,5437,406,2844,131,0,0,0
993,1883,2612,786,845,2695,4,4648,462,335,2836,2943,5381,261,2611,428,0,0,0
500,1265,2560,866,584,1426,39,2554,235,272,2397,1824,4220,343,1768,494,0,0,0
396,1701,3478,1139,760,2333,10,3877,628,509,4001,3127,6008,441,2720,408,0,0,0
