ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
326,393,1315,323,191,569,34,1343,76,120,1012,914,2782,100,828,460,0,0,0
646,1341,3367,1112,843,1615,59,2867,170,389,3405,1652,5020,603,2358,749,0,0,0
429,1645,3265,985,735,1510,23,2826,229,142,2957,1981,5045,589,2018,953,0,0,0
580,992,2256,1082,567,1802,7,2768,206,385,2843,933,4154,210,1966,158,0,0,0
318,603,1401,680,342,1024,8,1567,74,292,1412,507,1694,158,1042,56,0,0,0
60,102,189,51,41,232,2,389,16,36,254,212,515,12,206,32,0,0,0
281,551,1524,516,312,840,14,1668,128,228,1554,1313,2504,124,1109,124,0,0,0
463,892,1909,551,595,1116,26,2239,206,202,1958,1843,3164,190,1560,417,0,0,0
409,1317,3408,1696,652,1601,12,2732,189,655,4542,1505,5289,554,2861,230,0,0,0
198,456,532,113,144,609,1,1239,163,60,490,797,1069,39,550,74,0,0,0
540,831,1632,869,425,1722,18,2664,108,385,2282,868,3619,285,1668,140,0,0,0
770,1174,1874,436,680,2060,5,3156,364,320,2058,1701,2882,200,1743,186,0,0,0
1054,1615,2852,680,736,2309,4,4013,472,487,2972,2167,4334,307,2572,222,0,0,0
279,597,1346,529,327,831,3,1644,109,287,1576,938,2569,207,1108,107,0,0,0
524,1081,3140,537,865,1716,3,2937,292,405,2555,2078,4422,244,2014,205,0,0,0
842,1582,2082,1107,499,2302,7,3531,170,422,2564,1273,4167,344,1995,149,0,0,0
492,1139,1953,671,451,1786,4,2796,274,371,2266,1987,3512,258,1839,192,0,0,0
764,1488,1767,1031,503,2647,4,3548,85,437,2736,773,3892,458,2147,100,0,0,0
847,1508,1987,1185,552,2918,6,4268,176,524,2610,1248,4608,410,2244,136,0,0,0
684,1289,2503,1405,774,2157,2,2943,115,534,3429,1082,3686,610,2509,148,0,0,0
769,1241,2600,1392,810,2037,2,3140,178,509,3183,692,3693,588,2516,67,0,0,0
114,393,853,185,221,483,1,722,87,157,840,548,1026,145,642,62,0,0,0
587,1577,3548,1411,980,2020,9,3148,114,715,4026,1254,5046,728,3023,113,0,0,0
243,797,1761,621,570,1185,1,2075,275,270,2091,1224,2617,193,1540,235,0,0,0
557,1340,2776,825,759,2093,19,3517,423,429,2522,2564,4568,348,2113,313,0,0,0
185,675,933,432,417,914,2,1484,238,180,1465,1551,1995,111,956,168,0,0,0
642,1008,3117,701,188,1208,68,3038,188,200,1855,2696,4354,248,1573,1245,0,0,0
759,1358,3071,1478,746,2175,19,3350,244,555,3429,1451,4755,395,2403,128,0,0,0
981,1752,2539,783,782,2569,4,4450,445,335,2718,2771,5128,258,2445,426,0,0,0
459,913,2127,837,436,1239,39,2179,194,262,2064,1324,3516,333,1430,489,0,0,0
380,1408,3386,1119,642,2169,10,3550,589,505,3789,2826,5550,431,2411,407,0,0,0
521,973,2134,960,604,1543,25,2749,120,371,2764,1211,4236,332,1985,166,0,0,0
175,317,680,421,217,687,22,905,29,142,1058,304,1444,181,735,62,0,0,0
135,448,1284,418,318,463,19,843,89,222,1051,589,1589,189,576,121,0,0,0
572,1143,1745,1024,660,2107,5,2997,94,384,2530,602,3524,435,1883,54,0,0,0
188,396,1092,686,192,668,6,919,44,216,1676,275,1860,233,945,35,0,0,0
432,1422,2993,1569,1031,2176,6,3441,275,555,3551,1227,5447,612,2336,215,0,0,0
220,434,1231,210,54,604,11,1363,72,26,835,1294,2097,162,936,933,0,0,0
449,702,1669,352,117,1036,11,2034,122,88,1157,1840,2578,227,1342,1114,0,0,0
176,333,481,169,117,571,1,1023,92,54,729,783,1471,43,570,79,0,0,0
262,645,1918,564,478,912,14,1732,229,273,2134,1522,2827,211,1424,196,0,0,0
638,1755,4187,2258,1025,2529,37,4239,280,823,4502,1664,6573,623,3270,180,0,0,0
428,966,2216,941,445,1518,17,2452,221,241,2361,1392,3906,306,1576,507,0,0,0
34,60,150,75,41,131,4,183,15,22,137,61,200,19,114,4,0,0,0
35,50,121,64,34,75,0,134,10,20,127,71,177,13,105,12,0,0,0
228,572,1030,437,330,879,3,1427,149,149,1033,892,1473,89,897,86,0,0,0
1500,2762,3957,2130,1378,4460,10,7185,282,793,5295,1737,8586,766,4569,225,0,0,0
104,211,642,233,150,339,1,576,64,102,700,416,1034,57,437,93,0,0,0
572,1573,3467,1611,822,1753,9,2686,229,647,4046,963,4826,549,2467,202,0,0,0
225,486,1031,390,219,658,0,1060,76,210,1173,505,1798,157,833,41,0,0,0
384,958,2156,1275,645,1437,17,2316,171,402,3007,878,3379,431,2032,153,0,0,0
246,455,1177,482,210,722,10,1381,124,139,1007,1426,2082,193,986,495,0,0,0
639,1524,2297,1100,398,1921,3,2950,132,520,2712,609,3247,461,1993,54,0,0,0
604,1345,2233,1147,530,1776,3,2944,133,573,2883,881,4209,422,2145,112,0,0,0
250,616,1034,647,253,838,5,1279,75,313,1877,311,2119,272,1119,40,0,0,0
497,761,1211,712,360,1634,11,2474,80,224,2215,534,2856,166,1708,92,0,0,0
203,834,1519,401,394,1030,0,1593,211,212,1607,1223,1992,281,1261,124,0,0,0
1350,1929,3293,1271,1027,3686,5,5508,578,791,4040,3145,6523,461,3537,452,0,0,0
505,1031,2258,1107,517,1623,54,2618,116,457,2760,1135,3833,393,1902,143,0,0,0
538,930,1335,643,346,1620,15,2754,133,221,1780,1285,3405,140,1345,149,0,0,0
582,1316,1912,1389,723,2571,3,3532,124,430,2847,868,3869,354,2312,109,0,0,0
697,1353,3169,2035,730,2194,17,3125,86,977,5262,906,5203,732,3394,83,0,0,0
414,717,1963,849,390,1082,13,1794,236,361,2072,848,3022,219,1226,119,0,0,0
884,1745,4029,1184,1145,2797,4,3909,578,691,4554,2384,4315,503,3474,342,0,0,0
167,372,1130,498,288,556,0,1030,98,156,1257,721,1785,139,913,80,0,0,0
371,636,1011,411,291,1091,8,2063,226,204,1392,1304,2519,132,1147,158,0,0,0
660,1112,2385,495,620,1668,11,2882,248,372,2319,1987,3618,210,1793,244,0,0,0
413,871,3254,1024,516,1089,108,1913,178,497,3027,1100,4874,318,1752,238,0,0,0
204,316,875,302,160,460,2,762,28,160,753,250,1126,119,518,19,0,0,0
414,749,1934,504,420,476,16,2081,144,123,2141,3959,4734,349,1606,1310,0,0,0
