ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,PROPN,PUNCT,SCONJ,SYM,VERB,X,CONJ,PART,SPACE
272,451,260,103,240,404,1,788,8,348,262,839,134,5,436,45,0,0,0
320,602,307,138,304,430,4,888,11,472,221,1041,168,4,531,57,0,0,0
244,327,235,87,171,298,8,634,7,260,232,745,120,0,339,31,0,0,0
510,818,638,221,291,702,82,1167,32,871,1420,2668,369,3,927,79,0,1,0
365,623,245,127,278,426,7,850,10,438,366,1009,148,14,493,43,0,0,0
250,478,287,169,222,324,10,661,18,433,239,921,177,19,484,45,0,0,0
264,392,275,120,219,353,4,615,12,393,130,735,166,3,482,25,0,0,0
250,383,211,119,205,305,7,604,10,400,197,776,154,19,394,33,0,1,0
324,676,285,206,202,495,6,919,40,536,289,1259,159,17,576,32,0,1,0
225,364,172,129,214,243,7,532,10,299,184,676,120,0,371,41,0,0,0
229,431,255,151,212,296,8,609,11,469,232,974,181,7,539,39,0,0,0
121,235,165,100,65,245,28,441,14,284,201,1045,55,3,344,22,0,0,0
22,47,24,11,15,39,0,59,0,43,29,91,19,0,47,2,0,0,0
1290,2708,1664,944,1194,2133,28,3276,33,2424,909,3779,789,7,2774,59,0,0,0
1098,1470,1051,364,716,1332,37,2357,60,1272,833,3130,383,3,1369,63,0,0,0
907,1610,929,339,530,1063,53,2332,37,1394,805,3807,252,9,1314,133,0,0,0
844,1437,968,273,412,925,56,2042,53,1474,574,3403,265,7,1227,112,0,0,0
733,1295,757,236,390,863,62,1568,34,1151,618,2794,208,11,1011,89,0,2,0
984,1643,1023,263,478,1120,104,2574,87,1334,1000,4385,188,11,1388,141,0,2,0
804,1602,1075,259,460,1098,77,2202,28,1616,733,3834,296,8,1408,94,0,0,0
842,1594,941,246,436,1175,87,2425,29,1460,754,3950,272,8,1326,103,0,0,0
889,1516,1041,270,469,1094,57,2134,44,1394,782,3618,280,13,1317,96,0,0,0
792,1537,911,263,388,1053,95,2175,41,1381,851,4010,261,7,1350,112,0,2,0
1031,1446,1076,277,531,1053,107,2173,67,1276,674,3941,207,8,1291,143,0,1,0
902,1414,1068,254,459,1015,81,2249,105,1320,747,4017,223,9,1357,131,0,3,0
892,1590,1072,279,493,1064,67,2180,40,1562,633,3689,335,7,1368,117,0,2,0
950,1627,1111,278,609,1098,54,2369,39,1546,608,3827,273,16,1391,133,0,1,0
958,1399,1014,243,476,1108,104,2244,60,1332,689,3844,249,18,1306,120,0,2,0
767,1456,1061,270,471,1072,81,2090,34,1538,674,3751,311,6,1336,113,0,0,0
977,1741,1039,340,562,1082,64,2076,57,1375,873,3596,281,13,1314,127,0,1,0
900,1578,814,252,530,1068,68,2180,33,1132,737,3373,191,14,1049,137,0,3,0
772,1492,871,225,389,980,76,2056,33,1342,745,3733,220,6,1281,100,0,0,0
857,1525,937,246,415,1054,89,2148,32,1317,763,3593,261,9,1293,98,0,1,0
2349,4535,3424,1574,1734,3832,330,6537,134,4242,2026,9710,1493,3,5270,200,0,1,0
575,1503,1232,524,600,1132,47,1954,105,1683,1003,4254,589,5,2014,78,0,0,0
1059,2675,2017,903,1165,2048,52,3616,94,2906,1524,6642,939,11,3504,143,0,1,0
864,1978,1406,598,806,1365,54,2408,88,1973,1132,5009,672,3,2281,123,0,1,0
691,1635,1464,785,766,1387,46,2107,69,2649,637,3318,677,1,2401,49,0,0,0
904,1907,1398,612,826,1370,61,2448,83,2038,1248,5056,680,8,2299,114,0,1,0
512,1353,955,472,653,881,29,1670,40,1372,881,3326,528,6,1620,64,0,1,0
783,1783,1600,715,671,1443,54,2353,49,2470,712,3672,714,1,2617,62,0,0,0
1281,4023,2742,1889,1794,3623,150,5515,79,4380,1315,7113,1330,4,5005,108,0,0,0
1267,2301,1793,709,816,2058,88,3275,84,2375,1398,5443,866,5,2537,97,0,1,0
1208,2009,1455,588,736,1747,35,3171,65,2075,1026,4446,783,17,2203,141,0,0,0
180,312,124,89,127,236,3,476,19,184,222,517,59,1,200,41,0,0,0
136,217,139,98,99,181,0,349,7,225,134,510,75,3,251,27,0,0,0
937,1692,1238,503,860,1250,19,2564,54,1635,929,3328,653,7,1863,184,0,0,0
798,1433,937,454,491,1236,20,2230,41,1428,665,2749,475,10,1560,135,0,0,0
1049,1903,780,289,487,2015,69,2621,40,1322,1494,4472,306,4,1475,58,0,1,0
1511,2147,1056,535,838,1657,27,3233,71,1622,1090,3405,752,23,1884,151,0,1,0
658,979,608,306,500,734,19,1457,31,809,483,1544,340,9,923,132,0,1,0
92,161,37,17,32,111,0,174,0,47,175,242,8,0,76,4,0,0,0
562,1541,1033,555,468,1237,48,1945,34,1466,982,2711,479,2,1629,72,0,2,0
531,841,638,192,363,773,15,1469,27,826,633,1897,316,7,903,108,0,1,0
254,634,321,150,181,449,6,777,9,506,370,1552,128,2,655,15,0,0,0
1619,2863,1683,755,1116,2574,51,3780,73,2528,1348,5517,829,7,2512,148,0,0,0
1874,2865,1257,498,1141,2159,73,4491,56,1451,1122,5079,416,29,2071,159,0,0,0
1105,1406,1063,296,660,1189,35,2310,44,1061,650,2728,520,10,1327,110,0,1,0
1110,1606,927,295,650,1501,24,2795,80,1032,440,2734,455,6,1194,112,0,0,0
2380,4474,2366,1372,1777,3120,217,5910,57,4084,3251,7882,1094,7,4707,467,0,3,0
827,1477,813,229,587,990,79,2273,30,1339,771,3759,243,7,1245,128,0,0,0
689,1346,829,204,715,1138,33,1824,32,1201,909,3081,317,3,1156,72,0,0,0
689,1331,715,173,435,896,104,1776,57,910,1057,2957,250,8,1035,65,0,0,0
1066,2086,909,217,976,1780,29,3123,39,1423,1004,3941,310,16,1649,140,0,0,0
132,251,154,69,99,224,14,394,11,186,173,725,36,1,224,20,0,1,0
1791,3033,2035,832,1271,2867,53,4245,105,2743,1618,5707,942,6,2779,135,0,0,0
528,1505,1046,673,306,1170,21,1776,44,2004,971,3585,581,2,1807,86,0,1,0
1017,2045,1394,571,754,1940,52,2897,49,2142,1336,4468,714,7,2125,122,0,1,0
1206,2612,1387,682,573,2201,9,3385,56,2591,2083,4495,615,7,2365,265,0,1,0
953,2145,1152,544,465,1879,19,2779,50,2106,1754,5101,490,4,1911,194,0,1,0
1279,2675,1652,860,919,2374,51,3600,64,2671,1647,6423,992,0,2819,99,0,1,0
869,1825,1181,462,437,1374,358,2608,69,1997,3632,6128,539,9,2164,394,0,1,0
618,2135,1572,1054,677,1556,150,2568,77,2520,598,5185,556,1,2990,65,0,0,0
727,2248,1400,1030,573,1835,117,2936,152,2090,1197,5179,530,0,2783,126,0,0,0
765,1388,781,342,394,760,330,1703,34,1513,3126,5089,368,7,1819,214,0,0,0
1136,2102,1062,627,636,1786,124,3181,76,1716,1166,5418,396,3,2038,87,0,0,0
662,1898,1514,1055,448,1621,191,2581,93,2470,749,5813,467,5,2835,86,0,0,0
864,2276,1528,1172,605,1934,150,3044,139,2621,1393,5994,576,2,3002,86,0,0,0
607,1987,1512,1027,486,1614,129,2745,206,2179,661,5083,457,2,2792,64,0,0,0
520,1677,1361,1111,451,1477,204,2337,48,2262,725,5132,489,2,2601,75,0,0,0
862,1900,1256,829,591,1623,70,2658,55,1705,730,4145,449,0,2306,54,0,0,0
784,2102,1395,998,518,1748,221,2956,75,2421,1964,5980,533,2,2778,175,0,1,0
621,1256,837,341,294,964,222,1786,58,1238,2410,5174,302,3,1320,203,0,1,0
911,1730,1069,391,479,1344,323,2610,54,1777,3222,5897,505,2,2006,238,0,1,0
621,1617,1262,854,439,1418,140,2231,44,1938,622,4272,413,1,2378,88,0,0,0
1680,3862,3461,1769,1439,3135,432,5224,125,5024,1641,8899,1478,4,5298,142,0,0,0
768,1016,446,155,439,976,20,1650,18,581,318,1597,193,7,739,99,0,0,0
171,372,396,147,193,310,25,491,11,603,234,1076,160,1,530,17,0,1,0
695,928,626,372,540,957,2,1788,38,854,440,2305,298,4,1098,138,0,1,0
560,1187,793,370,314,1109,94,1822,38,1054,895,4118,207,10,1306,77,0,0,0
458,853,616,275,223,899,75,1378,37,838,748,3320,187,6,1040,39,0,1,0
586,1101,669,305,335,1011,66,1711,68,984,733,3575,224,4,1190,55,0,1,0
1434,1948,1022,502,1081,1695,24,3395,58,1704,593,4224,426,14,1946,204,0,0,0
490,1266,961,603,576,940,46,1723,49,2058,626,2982,472,0,1902,35,0,0,0
428,1269,968,594,646,1016,45,1579,32,2114,600,2964,535,0,2006,25,0,0,0
1026,1958,1474,454,799,1655,37,2968,54,1840,753,3823,568,11,1963,114,0,1,0
856,1986,1167,578,685,1744,64,2560,39,2050,1001,4460,444,4,1931,76,0,0,0
860,2332,941,386,740,1824,63,3015,42,1804,1478,4901,333,6,1758,79,0,0,0
2050,2830,1413,469,1252,2500,48,4279,39,1974,1683,5751,586,5,2165,110,0,2,0
1663,2276,1230,393,1173,1727,60,3441,67,1495,1550,4574,399,11,1744,110,0,2,0
219,413,318,229,216,311,13,614,12,557,194,974,150,5,636,24,0,1,0
1423,2024,1165,556,912,1962,33,3175,51,1848,1169,4379,522,5,1915,105,0,1,0
576,1009,632,239,322,995,98,1486,17,956,824,3232,189,3,1091,65,0,0,0
612,1145,751,308,343,1141,91,1728,18,964,888,3532,188,1,1103,89,0,0,0
643,1103,662,320,405,1237,61,1803,22,989,836,3491,241,0,1186,83,0,0,0
586,1022,621,212,274,890,98,1275,17,842,684,2652,195,1,953,33,0,0,0
495,879,502,196,223,790,76,1182,17,667,632,2366,147,1,731,56,0,0,0
553,1054,566,275,261,955,115,1498,17,936,822,3229,172,1,990,51,0,1,0
751,1213,753,300,339,1040,128,1861,29,1065,678,3426,237,11,1196,100,0,1,0
114,237,172,82,77,235,16,410,7,229,115,825,50,0,281,12,0,0,0
399,764,445,193,208,767,88,1109,16,660,539,2360,144,7,728,44,0,0,0
484,920,488,190,272,896,47,1524,24,677,669,2759,160,0,820,62,0,0,0
405,834,549,213,220,799,44,1146,15,793,622,2575,204,2,913,44,0,0,0
350,636,435,165,202,632,62,948,16,597,532,2086,138,4,631,41,0,0,0
674,1395,754,396,366,1426,55,1976,25,1196,958,3892,309,8,1405,80,0,0,0
518,1103,647,254,369,1150,55,1765,19,849,627,2896,247,10,1040,107,0,0,0
711,1167,799,299,337,997,115,1870,57,953,647,3307,247,10,1165,78,0,0,0
837,1561,725,288,385,1332,53,2241,36,1017,568,3335,283,7,1311,102,0,0,0
577,1266,656,268,322,994,86,1696,26,921,566,2774,217,12,1003,112,0,2,0
506,930,538,208,267,898,70,1380,23,686,666,2722,161,3,794,76,0,0,0
505,1033,592,249,297,940,73,1418,20,856,736,3050,213,2,1045,64,0,0,0
545,934,620,223,275,808,96,1476,30,780,764,3142,231,1,966,89,0,0,0
1242,2131,882,352,889,1816,85,3387,57,1516,920,4866,306,16,1653,93,0,0,0
936,1218,564,254,553,1088,30,1979,18,718,926,2721,189,4,1060,80,0,0,0
167,196,160,64,120,222,3,398,5,193,152,566,79,3,227,28,0,0,0
633,1112,625,311,429,880,19,1529,25,1038,759,2065,220,4,987,58,0,0,0
825,1553,1066,281,605,1454,59,2057,13,1558,1167,4009,399,5,1442,110,0,0,0
1618,4287,3388,1739,1653,3370,294,5261,101,5523,1798,8213,1538,5,5561,96,0,1,0
822,1573,716,328,595,1435,11,2202,34,968,681,3028,357,4,1044,50,0,0,0
357,566,366,140,225,402,3,858,8,463,318,1053,205,0,566,35,0,0,0
2594,3041,1708,724,2287,3071,39,5826,101,2185,1036,6053,636,26,2599,326,0,0,0
2531,5297,4213,2205,2209,4352,302,7156,126,5950,3462,11254,1820,29,7320,188,0,0,0
891,1236,657,302,633,969,17,2038,34,877,545,2429,196,8,848,101,0,0,0
1122,1725,1073,439,964,1625,29,2854,42,1615,719,3658,542,11,1692,146,0,0,0
956,1549,950,392,840,1584,9,2387,32,1655,1155,2132,401,7,1617,67,0,0,0
1084,1575,1037,421,915,1598,24,2675,51,1551,854,3946,556,4,1670,139,0,1,0
1904,2562,1179,473,1163,2442,32,4313,82,1739,927,4532,612,12,2169,173,0,0,0
988,1758,1382,586,694,1674,44,2690,27,1786,577,3799,683,5,1956,200,0,0,0
674,962,807,287,446,975,9,1660,31,931,409,1960,413,2,1078,87,0,0,0
