,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
25,anonimo-la-rappresentazione-di-josef-di-jacob-e-de-fratelli,ita000026,(Anonimo),0,"La rappresentazione di Josef, di Jacob e de' fratelli",,,1500,20,False,1.0,1.0,1.0,several characters,19.0,1,,,19,20,1,17,2,,1,1401/1500,1,0.0,0,6063,4588,1381,0,704
51,cosci-paola-da-buti,ita000052,Cosci,0,Paola da Buti,,,1933,13,False,0.7891275391275392,0.4230769230769231,1.5769230769230769,paola,5.076923076923077,2,1933,,12,14,4,9,1,,1,1930,22,0.0,4,6116,5211,1199,0,905
52,da-correggio-fabula-de-cefalo,ita000053,Correggio,0,Fabula de Cefalo,,,1487,16,False,0.8747519841269842,0.5416666666666666,1.4583333333333333,cefalo|procri,8.125,2,1487,1507.0,15,16,9,6,1,,1,,5,0.0,5,8695,7287,1017,0,999
56,dal-carretto-comedia-de-timon-greco,ita000057,Carretto,0,Comedia de Timon greco,,,1497,11,False,0.4632034632034632,0.2363636363636363,1.9333333333333331,timon,2.363636363636364,3,,,7,11,0,9,2,,2,1497,16,0.0,5,7984,7589,263,0,1047
91,guidi-endimione,ita000092,Guidi,0,Endimione,,,1691,5,False,0.9,0.9,1.1,amore|cintia|endimione,3.6,2,1691,1692.0,4,5,2,2,1,,1,1688,5,0.0,5,8005,6981,0,0,1215
92,leopardi-telesilla,ita000093,Leopardi,0,Telesilla,,,1821,9,False,0.9523809523809524,0.6666666666666666,1.3333333333333333,girone,5.333333333333333,2,,,8,9,3,6,0,,1,1821,2,0.0,0,6549,3780,18,0,558
103,metastasio-alessandro-nell-indie,ita000104,Metastasio,0,Alessandro nell'Indie,,,1730,7,False,1.0,1.0,1.0,several characters,6.0,1,1730,,6,7,3,4,0,,1,1727/1730,40,0.0,3,8463,7640,968,0,1399
109,metastasio-il-re-pastore,ita000110,Metastasio,0,Il re pastore,,,1751,6,False,1.0,1.0,1.0,several characters,5.0,1,1751,,5,6,2,3,1,,1,,25,0.0,3,6773,5765,576,0,1043
110,metastasio-ipermestra,ita000111,Metastasio,0,Ipermestra,,,1744,7,False,0.923809523809524,0.8095238095238095,1.1904761904761905,danao|ipermestra,4.857142857142857,2,1744,,6,8,2,4,2,,1,,30,0.0,3,7647,7015,358,0,1269
111,metastasio-issipile,ita000112,Metastasio,0,Issipile,,,1732,7,False,1.0,1.0,1.0,several characters,6.0,1,1732,,6,7,3,3,1,,1,,37,0.0,3,8782,7796,924,0,1445
112,metastasio-l-eroe-cinese,ita000113,Metastasio,0,L'eroe cinese,,,1752,6,False,1.0,1.0,1.0,several characters,5.0,1,1752,,5,6,2,3,1,,1,,26,0.0,3,7265,6487,602,0,1178
116,metastasio-romolo-ed-ersilia,ita000117,Metastasio,0,Romolo ed Ersilia,,,1765,7,False,0.7238095238095238,0.7142857142857143,1.2857142857142858,romolo,4.285714285714286,2,1765,,6,7,2,4,1,,1,,27,0.0,3,7659,6700,541,0,1234
117,metastasio-ruggero-ovvero-l-eroica-gratitudine,ita000118,Metastasio,0,Ruggero ovvero l'eroica gratitudine,,,1771,7,False,1.0,1.0,1.0,several characters,6.0,1,1771,,6,7,2,4,1,,1,,29,0.0,3,8456,7925,316,0,1422
125,rucellai-rosmunda,ita000126,Rucellai,0,Rosmunda,,,1515,9,False,0.8661375661375662,0.7222222222222222,1.2777777777777777,coro|rosmunda|nutrice,5.777777777777778,2,1515,1525.0,8,9,3,5,1,,1,,5,0.0,0,8520,8470,26,0,1237
129,taccone-comedia-di-danae,ita000130,Taccone,0,Comedia di Danae,,,1496,10,False,0.8476190476190476,0.4666666666666667,1.6222222222222222,danae|siro|acrisio,4.2,3,1496,,7,10,2,7,1,,1,,5,0.0,0,6313,4314,559,0,579
