Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText
wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp
wordCountStage,wordCountStage,yearNormalized,wordCountStage,wordCountStage,wordCountStage,yearNormalized,wordCountStage,yearNormalized,wordCountStage,wordCountStage,der,yearNormalized
yearNormalized,der,wordCountStage,yearNormalized,ich,ich,wordCountStage,ich,wordCountStage,yearNormalized,yearNormalized,wordCountStage,wordCountStage
ich,ich,ich,ich,der,der,ich,der,ich,ich,ich,ich,ich
der,yearNormalized,der,der,sich,yearNormalized,der,yearNormalized,der,der,der,sich,der
sich,sich,sich,sich,yearNormalized,sich,sich,sich,sich,sich,sich,yearNormalized,sich
sein,sein,sein,sein,und,sein,sein,mein,und,sein,sein,mein,sein
und,und,und,und,mein,und,mein,sein,sein,mein,mein,und,und
mein,mein,mein,mein,du,mein,und,und,mein,und,und,sein,mein
nicht,nicht,nicht,nicht,sein,nicht,nicht,nicht,nicht,nicht,nicht,in,nicht
du,einen,du,du,haben,so,du,zu,du,zu,du,nicht,du
einen,in,zu,zu,nicht,in,zu,in,einen,du,zu,du,einen
so,zu,einen,haben,in,haben,einen,so,zu,in,einen,zu,zu
zu,du,so,so,dies,zu,so,du,so,haben,so,einen,haben
haben,haben,in,einen,zu,einen,in,wie,in,einen,haben,mit,so
in,so,haben,in,noch,du,haben,einen,haben,so,in,so,in
was,werden,wie,was,so,wie,was,mit,was,was,was,wie,was
meinen,wie,was,werden,einen,werden,wie,haben,wie,mit,mit,auf,meinen
wie,mit,mit,daß,daß,daß,meinen,was,werden,wie,werden,dies,mit
