Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText
wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp
wordCountStage,wordCountStage,yearNormalized,yearNormalized,wordCountStage,wordCountStage
yearNormalized,der,wordCountStage,wordCountStage,yearNormalized,ich
ich,ich,ich,ich,ich,der
der,yearNormalized,der,der,der,sich
sich,sich,sich,sich,sich,yearNormalized
sein,sein,sein,sein,sein,und
und,und,und,und,und,mein
mein,mein,mein,mein,mein,du
nicht,nicht,nicht,nicht,nicht,sein
du,zu,du,du,zu,haben
zu,in,zu,einen,du,nicht
einen,du,einen,zu,haben,in
so,einen,so,so,in,dies
haben,haben,in,haben,einen,zu
in,so,haben,in,so,noch
was,wie,wie,was,was,so
wie,mit,was,meinen,mit,einen
mit,von,mit,wie,wie,daß
