,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
10,arnim-halle,ger000301,Arnim,0,Halle,Ein Studentenspiel in drei Aufzügen,,1811,81,False,0.8810611079095322,0.145679012345679,2.022530864197531,cardenio,11.65432098765432,4,,1811.0,61,81,14,57,10,,1,,49,1,3,47644,46628,2565,1179,906
38,bleibtreu-ein-faust-der-that,ger000322,Bleibtreu,0,Ein Faust der That,Tragödie in fünf Akten,Tragedy,1889,23,False,0.9106144225945008,0.8300395256916996,1.1699604743083003,several characters,18.26086956521739,2,,1889.0,22,23,0,22,1,,1,,5,0,5,36295,35604,3036,1401,40
53,brentano-die-gruendung-prags,ger000384,Brentano,0,Die Gründung Prags,Ein historisch-romantisches Drama,,1814,70,False,0.8873262538626238,0.6488612836438924,1.3511387163561075,stratka|wrschowetz|wlasta,44.77142857142857,2,,1814.0,69,71,27,38,5,,1,1812/1814,14,1,5,78035,71783,5569,0,9599
54,brentano-ponce-de-leon,ger000408,Brentano,0,Ponce de Leon,Lustspiel in fünf Aufzügen,Comedy,1803,37,False,0.7644662259751774,0.2312312312312312,1.895973154362416,ponce,8.324324324324325,4,1814,1803.0,27,37,8,28,1,,2,1801,122,1,5,39319,36332,3535,1735,248
113,goethe-faust-der-tragoedie-zweiter-teil,ger000201,Goethe,0,Faust. Der Tragödie zweiter Teil,In fünf Akten,Tragedy,1832,189,False,0.9449079704283292,0.1143194866599121,2.3280405405405404,mephistopheles,21.49206349206349,4,1856,1832.0,98,189,73,88,28,,3,1825/1831,27,7,5,47820,47516,2036,0,7583
134,grabbe-herzog-theodor-von-gothland,ger000158,Grabbe,0,Herzog Theodor von Gothland,Eine Tragödie in fünf Akten,Tragedy,1827,61,False,0.8842960657811874,0.3262295081967213,1.6737704918032787,berdoa,19.57377049180328,2,1892,1827.0,57,61,2,59,0,,1,1818/1822,17,1,5,43429,42944,5033,0,6988
137,grabbe-napoleon,ger000378,Grabbe,0,Napoleon oder Die hundert Tage,Ein Drama in fünf Aufzügen,,1831,259,False,0.95401023816471,0.0890126006405076,2.83399137899808,chassecoeur|vitry,22.965250965250966,6,1895,1831.0,106,259,23,199,37,,4,1829/1831,25,1,5,38123,36630,3142,1851,124
184,hauptmann-florian-geyer,ger000504,Hauptmann,0,Florian Geyer,Die Tragödie des Bauernkrieges,Tragedy,1896,91,False,0.9010377613689214,0.3111111111111111,1.78021978021978,florian_geyer,28.0,3,1896,1896.0,79,91,4,87,0,,1,1894/1895,6,0,5,38387,35862,4467,1497,62
221,hofmannsthal-der-turm,ger000387,Hofmannsthal,0,Der Turm,Ein Trauerspiel in fünf Aufzügen,Tragedy,1924,97,False,0.9532155290880572,0.3150773195876288,1.698668384879725,julian,30.24742268041237,3,1928,1924.0,92,97,4,90,3,,1,1921/1924,7,2,5,36106,35524,7293,1168,0
233,holz-sonnenfinsternis,ger000174,Holz,0,Sonnenfinsternis,Tragödie,Tragedy,1908,6,False,0.9333333333333336,0.9333333333333332,1.0666666666666669,several characters,4.666666666666667,2,1913,1908.0,5,6,1,5,0,,1,,5,0,5,56770,55594,25800,2101,0
301,lassalle-franz-von-sickingen,ger000287,Lassalle,0,Franz von Sickingen,Eine historische Tragödie,Tragedy,1859,64,False,0.8239651229081375,0.1274801587301587,2.7018849206349205,franz,8.03125,6,1969,1859.0,35,64,4,59,1,,1,1857/1858,39,0,5,43701,42299,4159,2,5669
