,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
20,anonimo-cleopatra-e-marc-antonio,ita000021,(Anonimo),0,Cleopatra e Marc'Antonio Tragedia,,,1600,12,False,0.6893518518518519,0.6363636363636364,1.3636363636363635,cleop,7.0,2,,,9,12,3,9,0,,1,1551/1600,22,0.0,0,24373,20337,383,811,0
39,ariosto-la-cassaria-red-in-versi,ita000040,Ariosto,0,La Cassaria (red. in versi),,,1529,19,False,0.727037290195185,0.2807017543859649,2.0350877192982457,trappola,5.052631578947368,4,1529,,11,19,3,16,0,,1,1528/1529,34,,0,23893,22604,98,0,3531
61,dolce-marianna,ita000062,Dolce,0,Marianna,,,1565,15,False,0.7168294668294668,0.3333333333333333,1.6857142857142855,erode,4.666666666666667,3,,1565.0,13,17,5,11,1,,1,,23,0.0,5,23356,21966,66,0,3092
70,giraldi-cinzio-cleopatra,ita000071,Giraldi,0,Cleopatra,,,1542,18,False,0.5783148949815616,0.3594771241830065,1.6397058823529411,coro,6.111111111111111,3,,1583.0,12,18,4,14,0,,2,1542,35,0.0,5,22367,21247,16,0,3052
75,giraldi-cinzio-orbecche,ita000076,Giraldi,0,Orbecche,,,1541,15,False,0.5813756613756613,0.2761904761904762,1.5178571428571428,sulmone,3.8666666666666663,3,1541,1543.0,9,15,7,6,2,,4,1541,21,0.0,5,24851,23806,61,0,3290
79,goldoni-il-servitore-di-due-padroni,ita000080,Goldoni,0,Il servitore di due padroni,,,1746,12,False,0.8775072150072148,0.6818181818181818,1.318181818181818,beatrice,7.5,2,1746,,11,12,3,9,0,,1,1745,59,0.0,3,24651,21745,2542,1484,14
83,goldoni-la-famiglia-dell-antiquario,ita000084,Goldoni,0,La famiglia dell'antiquario,,,1750,11,False,0.875036075036075,0.6909090909090909,1.309090909090909,anselmo|pantalone,6.909090909090909,2,1750,,10,11,3,8,0,,1,,61,0.0,3,22562,21412,1170,1681,0
87,goldoni-le-femmine-puntigliose,ita000088,Goldoni,0,Le femmine puntigliose,,,1750,14,False,0.6787775716347143,0.5494505494505495,1.5384615384615383,rosaura,7.142857142857143,4,1750,,11,14,4,10,0,,1,1750,55,0.0,3,25277,19951,2046,1378,0
89,goldoni-una-delle-ultime-sere-di-carnovale,ita000090,Goldoni,0,Una delle ultime sere di carnovale,,,1762,15,False,0.946053946053946,0.7714285714285715,1.2285714285714286,zamaria,10.8,2,1762,,14,15,6,9,0,,1,1761,38,0.0,3,22711,20639,1880,1680,4
135,tasso-re-torrismondo,ita000136,Tasso,0,Re Torrismondo,,,1587,13,False,0.7917582417582417,0.3717948717948718,1.7307692307692308,torrismondo,4.461538461538462,3,1618,1587.0,9,13,5,7,1,,1,,34,0.0,5,25478,24763,68,0,3404
