Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText
wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp
yearNormalized,yearNormalized,yearNormalized,yearNormalized,yearNormalized,yearNormalized,yearNormalized,che,yearNormalized,yearNormalized,yearNormalized,yearNormalized,yearNormalized
wordCountStage,wordCountStage,il,il,il,il,il,il,wordCountStage,il,il,wordCountStage,wordCountStage
il,il,che,di,che,wordCountStage,che,yearNormalized,il,che,che,il,il
che,che,essere,wordCountStage,wordCountStage,che,essere,essere,che,wordCountStage,essere,che,che
essere,essere,di,che,essere,essere,di,di,essere,essere,di,essere,essere
di,el,non,essere,di,di,non,non,non,di,non,di,di
non,avere,io,non,non,non,io,io,di,non,avere,non,non
mio,di,avere,io,avere,io,avere,mi,mio,io,wordCountStage,avere,avere
in,non,fare,in,in,in,fare,avere,io,avere,io,mi,io
avere,mi,per,mio,io,mio,per,in,in,in,in,uno,in
per,in,mi,mi,mi,uno,mi,fare,mi,mi,et,in,mio
el,se,in,tuo,fare,mi,mio,per,tuo,uno,uno,lo,mi
fare,per,mio,tu,per,avere,in,mio,uno,ch,mi,et,fare
mi,no,questo,al,lo,si,uno,si,se,et,fare,per,per
uno,mio,uno,ma,uno,tu,lo,dire,avere,per,per,se,el
io,uno,dire,uno,ch,al,wordCountStage,uno,per,fare,si,fare,uno
ch,de,si,me,mio,se,se,se,al,si,mio,mio,se
si,lo,volere,avere,si,ma,dire,lo,si,questo,lo,si,ch
