Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText,wordCountText
wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp,wordCountSp
wordCountStage,wordCountStage,yearNormalized,wordCountStage,der,wordCountStage,wordCountStage,wordCountStage,yearNormalized,wordCountStage
yearNormalized,ich,wordCountStage,yearNormalized,ich,der,ich,yearNormalized,wordCountStage,ich
ich,der,ich,ich,wordCountStage,ich,der,ich,ich,yearNormalized
der,sich,der,der,sich,sich,yearNormalized,der,der,der
sich,yearNormalized,sich,sich,yearNormalized,und,sich,sich,sich,sich
sein,und,und,sein,und,sein,sein,sein,sein,sein
und,mein,sein,und,mein,is,und,und,und,mein
mein,du,mein,mein,sein,haben,mein,mein,mein,haben
nicht,sein,nicht,nicht,nicht,mein,nicht,nicht,nicht,nicht
du,haben,du,zu,in,nicht,zu,du,du,und
einen,nicht,zu,du,zu,yearNormalized,in,zu,einen,du
zu,in,einen,in,einen,einen,du,haben,zu,in
so,dies,so,haben,so,in,einen,einen,so,so
haben,zu,in,einen,du,zu,haben,so,haben,noch
in,noch,haben,so,mit,no,so,in,in,se
was,so,wie,was,wie,werden,wie,was,was,zu
meinen,einen,was,mit,meinen,was,mit,werden,wie,det
wie,daß,mit,wie,haben,daß,was,mit,meinen,wie
