,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
9,arnim-das-loch,ger000407,Arnim,0,Das Loch oder Das wiedergefundene Paradies,Ein Schattenspiel,,1811,22,False,0.85041380188439,0.3593073593073593,1.7532467532467533,esel,7.545454545454546,3,1811,1813.0,18,22,1,6,15,,1,1811,17,1,2,6781,5934,246,1,811
19,ball-die-nase-des-michelangelo,ger000075,Ball,0,Die Nase des Michelangelo,Tragikomödie,Tragicomedy,1911,11,False,0.8632034632034632,0.6181818181818182,1.3818181818181818,michelangelo|torrigiano,6.181818181818182,2,,1911.0,10,11,0,9,2,,1,1908,4,0,0,10466,10408,519,0,1374
24,beer-der-paria,ger000455,Beer,0,Der Paria,Trauerspiel in einem Aufzuge,Tragedy,1823,10,False,0.6157142857142857,0.4444444444444444,1.6222222222222222,benascar,4.0,3,1823,1826.0,8,10,1,6,3,,1,,13,0,0,6693,6459,674,0,892
27,benedix-die-hochzeitsreise,ger000035,Benedix,0,Die Hochzeitsreise,Lustspiel in zwei Aufzügen,Comedy,1850,5,False,0.8666666666666666,0.8,1.2,edmund|hahnensporn,3.2,2,1850,1853.0,4,5,2,3,0,,1,1849,10,0,2,11130,10989,1557,510,0
28,benedix-die-luegnerin,ger000354,Benedix,0,Die Lügnerin,Lustspiel in einem Aufzuge,Comedy,1849,8,False,0.9404761904761904,0.8214285714285714,1.1785714285714286,moritz|constanze,5.75,2,1849,1851.0,7,8,3,5,0,,1,1848,8,0,0,6464,6302,708,360,0
32,bernard-faust,ger000242,Bernard,0,Faust,Große romantische Oper in drei Akten,,1816,22,True,0.8004584210079567,0.4458874458874459,1.5757575757575757,chor,9.363636363636363,3,1816,,19,22,7,12,3,,1,,46,9,3,10145,9458,1945,0,1434
49,braun-von-braunthal-das-nachtlager-von-granada,ger000202,Braun von Braunthal,0,Das Nachtlager von Granada,Romantische Oper in zwei Aufzügen,,1834,11,True,0.8796536796536796,0.6909090909090909,1.309090909090909,jaeger|chor_der_hirten|gabriele,6.909090909090909,2,1834,,10,11,1,9,1,,1,,19,6,2,9227,8758,2556,0,1096
55,bretzner-belmont-und-constanze,ger000339,Bretzner,0,Belmont und Constanze oder Die Entführung aus dem Serail,Eine Operette in drey Akten,,1781,11,False,0.6634199134199135,0.509090909090909,1.2432432432432432,pedrillo,5.090909090909091,2,1781,,8,11,2,9,0,,2,,22,1,3,8549,8235,949,273,408
57,buechner-leonce-und-lena,ger000371,Büchner,0,Leonce und Lena,Ein Lustspiel,Comedy,1838,21,False,0.9364076399790684,0.419047619047619,1.4615384615384617,praesident,8.380952380952381,3,1895,1838.0,16,21,3,16,2,,2,1836,11,7,3,8926,8693,648,282,18
59,bunge-der-trompeter-von-saekkingen,ger000219,Bunge,0,Der Trompeter von Säkkingen,"Oper in 3 Akten, nebst einem Vorspiel",,1884,19,True,0.8760369661298455,0.631578947368421,1.368421052631579,conradin|werner,11.36842105263158,2,1884,,18,19,3,12,4,,1,,4,2,3,7637,7458,39,0,1315
60,busoni-doktor-faust,ger000542,Busoni,0,Doktor Faust,,,1920,40,True,0.928480427822533,0.4269230769230769,1.573076923076923,mephistopheles|faust,16.65,2,1925,1920.0,39,40,2,31,7,,1,,6,0,0,7031,6113,1560,252,427
63,chezy-euryanthe,ger000433,Chézy,0,Euryanthe,Romantische Oper in drei Aufzügen,,1823,12,True,0.8410052910052911,0.6818181818181818,1.318181818181818,adolar|chor|lysiart,7.5,2,1823,,10,12,4,6,2,,1,,25,18,3,8939,7778,2683,0,1046
65,cornelius-der-barbier-von-bagdad,ger000318,Cornelius,0,Der Barbier von Bagdad,Komische Oper in zwei Aufzügen,,1858,18,True,0.8390319556986223,0.4836601307189542,1.5163398692810457,kadi,8.222222222222221,2,1858,,15,18,3,12,3,,1,,20,11,2,7362,7001,1955,0,978
73,dovsky-mona-lisa,ger000352,Dovsky,0,Mona Lisa,Oper in zwei Akten,,1915,20,True,0.9742690058479532,0.9421052631578948,1.0578947368421052,several characters,17.9,2,1915,,19,20,6,10,4,,1,,2,4,2,6161,6034,0,0,1044
75,eckartshausen-der-pudelhund,ger000524,Eckartshausen,0,Der Pudelhund,Ein Lustspiel in einem Aufzuge,Comedy,1800,8,False,0.7761904761904762,0.6071428571428571,1.3928571428571428,adolph,4.25,2,,1800.0,7,8,2,6,0,,1,,17,0,0,8525,8317,235,242,7
