,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
29,benedix-doctor-wespe,ger000502,Benedix,0,Doctor Wespe,Lustspiel in fünf Aufzügen,Comedy,1842,12,False,0.8151455026455025,0.6666666666666666,1.3484848484848484,theudelinde|thekla,7.333333333333333,3,1842,1844.0,10,12,5,7,0,,1,1841,51,0,9,23310,22847,1656,1326,25
30,benkowitz-die-jubelfeier-der-hoelle,ger000314,Benkowitz,0,"Die Jubelfeier der Hölle, oder Faust der jüngere",Ein Drama zum Anfang des neunzehnten Jahrhunderts,,1801,24,False,0.7985825517075518,0.3079710144927536,1.920289855072464,satan,7.083333333333333,3,,1801.0,17,24,4,20,0,,1,,68,0,5,27726,26285,2623,993,7
54,brentano-ponce-de-leon,ger000408,Brentano,0,Ponce de Leon,Lustspiel in fünf Aufzügen,Comedy,1803,37,False,0.7644662259751774,0.2312312312312312,1.895973154362416,ponce,8.324324324324325,4,1814,1803.0,27,37,8,28,1,,2,1801,122,1,5,39319,36332,3535,1735,248
67,cronegk-der-misstrauische,ger000068,Cronegk,0,Der Mißtrauische,Ein Lustspiel in fünf Aufzügen,Comedy,1760,7,False,1.0,1.0,1.0,several characters,6.0,1,1766,1760.0,6,7,2,5,0,,1,,35,0,5,25767,25499,883,749,0
90,freytag-die-journalisten,ger000365,Freytag,0,Die Journalisten,Lustspiel in vier Akten,Comedy,1852,24,False,0.8771016539764857,0.7391304347826086,1.2608695652173914,bolz|bellmaus,17.0,2,1852,1854.0,23,24,5,19,0,,1,,7,1,4,27820,27425,2476,1065,13
95,gellert-die-zaertlichen-schwestern,ger000326,Gellert,0,Die zärtlichen Schwestern,Ein Lustspiel in drei Aufzügen,Comedy,1747,8,False,0.9285714285714284,0.8571428571428571,1.1428571428571428,siegmund|lottchen|simon,6.0,2,1747,1747.0,7,8,2,6,0,,1,,53,1,3,23295,22530,411,609,0
117,goethe-goetz-von-berlichingen-mit-der-eisernen-hand,ger000123,Goethe,0,Götz von Berlichingen mit der eisernen Hand,Ein Schauspiel,,1773,79,False,0.8517638097048925,0.0866601752677702,2.4850773103200288,goetz,6.759493670886076,5,1774,1773.0,46,79,9,70,0,,2,1771/1773,55,9,5,28412,27888,1058,1435,41
122,goethe-torquato-tasso,ger000082,Goethe,0,Torquato Tasso,Ein Schauspiel,,1790,5,False,1.0,1.0,1.0,several characters,4.0,1,1807,1790.0,4,5,2,3,0,,1,1780/1789,24,7,5,25603,25445,260,0,3476
192,hebbel-genoveva,ger000327,Hebbel,0,Genoveva,Eine Tragödie in fünf Akten,Tragedy,1843,19,False,0.8425349246556678,0.4385964912280701,1.5614035087719298,golo,7.894736842105263,2,1849,1843.0,17,19,3,15,1,,1,,44,0,5,33896,33087,2804,0,4511
194,hebbel-herodes-und-mariamne,ger000101,Hebbel,0,Herodes und Mariamne,Eine Tragödie in fünf Akten,Tragedy,1849,27,False,0.8421874542789575,0.2962962962962963,1.9173789173789173,herodes|titus,7.703703703703703,4,1849,1850.0,18,27,3,23,1,,1,,35,0,5,26986,26689,1028,0,3804
