,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
0,alberti-brot,ger000171,Alberti,0,Brot!,Ein soziales Schauspiel in fünf Akten,,1888,49,False,0.8497673123239152,0.3129251700680272,1.751700680272109,muenzer,15.020408163265309,3,,1888.0,40,49,7,24,18,,1,1888,36,0,5,28744,26008,1771,797,12
11,arnim-jerusalem,ger000195,Arnim,0,Jerusalem,Ein Pilgerabenteuer,,1811,72,False,0.8949685978800663,0.2085289514866979,1.8507005253940456,sidney,14.805555555555555,3,,1811.0,52,72,15,50,7,,2,,13,1,0,29244,28803,1725,784,866
14,avenarius-faust,ger000278,Avenarius,0,Faust,Ein Spiel,,1919,95,False,0.9516021045030358,0.148488241881299,1.81531393568147,faust,13.957894736842103,3,,1919.0,77,95,6,79,10,,2,,12,1,5,26474,25654,3543,94,3008
25,beer-struensee,ger000090,Beer,0,Struensee,Trauerspiel in fünf Aufzügen,Tragedy,1828,57,False,0.8183610716648031,0.1228070175438596,2.6467065868263475,ranzau,6.87719298245614,5,1828,1829.0,19,57,6,48,3,,2,1827,65,0,5,32519,31057,2763,136,3779
34,birch-pfeiffer-in-der-heimath,ger000268,Birch-Pfeiffer,0,In der Heimath,Original-Schauspiel in fünf Acten,,1865,18,False,0.8290388623721956,0.5294117647058824,1.522875816993464,rose,9.0,3,1865,1865.0,15,18,8,10,0,,1,,39,0,5,25238,24493,4202,861,0
38,bleibtreu-ein-faust-der-that,ger000322,Bleibtreu,0,Ein Faust der That,Tragödie in fünf Akten,Tragedy,1889,23,False,0.9106144225945008,0.8300395256916996,1.1699604743083003,several characters,18.26086956521739,2,,1889.0,22,23,0,22,1,,1,,5,0,5,36295,35604,3036,1401,40
77,eichendorff-der-letzte-held-von-marienburg,ger000255,Eichendorff,0,Der letzte Held von Marienburg,Trauerspiel,Tragedy,1830,55,False,0.8261051701693765,0.2626262626262626,1.8545454545454545,heinrich_von_plauen,14.181818181818182,3,1831,1830.0,41,55,6,49,0,,1,,18,0,5,24596,24026,2330,73,2863
87,fouque-sigurd-der-schlangentoedter,ger000212,Fouqué,0,"Sigurd, der Schlangentödter",Ein Heldenspiel in sechs Abentheuren,,1808,26,False,0.8277397073383697,0.3076923076923077,1.7384615384615385,sigurd,7.6923076923076925,3,,1808.0,23,26,10,13,3,,1,,17,0,6,28926,26924,1137,0,3822
111,goethe-egmont,ger000442,Goethe,0,Egmont,Ein Trauerspiel in fünf Aufzügen,Tragedy,1788,31,False,0.859848708066677,0.3655913978494624,1.648648648648649,egmont,10.96774193548387,3,1789,1788.0,24,31,3,26,2,,2,1775/1787,13,14,5,25839,25545,1133,820,30
114,goethe-faust-eine-tragoedie,ger000243,Goethe,0,Faust,Eine Tragödie,Tragedy,1808,115,False,0.9713618643481464,0.202135774218154,1.7032520325203253,faust,23.043478260869566,3,1819,1808.0,67,115,18,60,37,,3,1797/1806,28,9,0,30912,30294,1338,20,4641
