,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
3,anzengruber-das-vierte-gebot,ger000129,Anzengruber,0,Das vierte Gebot,Volksstück in vier Akten,,1877,32,False,0.7734991961858381,0.2903225806451613,1.8528225806451613,martin,9.0,4,1877,1878.0,24,32,8,23,1,,1,,40,1,4,19774,18773,4092,780,0
5,anzengruber-der-meineidbauer,ger000054,Anzengruber,0,Der Meineidbauer,Volksstück mit Gesang in drei Akten,,1871,22,False,0.8339703226066862,0.2597402597402597,2.038961038961039,vroni,5.454545454545454,4,1871,1871.0,14,22,10,12,0,,1,,26,1,3,24560,23650,2756,556,73
6,anzengruber-der-pfarrer-von-kirchfeld,ger000337,Anzengruber,0,Der Pfarrer von Kirchfeld,Volksstück mit Gesang in vier Akten,,1870,22,False,0.778463455736183,0.4025974025974026,1.748917748917749,schulmeister,8.454545454545455,3,1870,1871.0,18,22,3,14,5,,1,1869,26,1,4,22589,21372,2473,626,68
12,arnim-marino-caboga,ger000270,Arnim,0,Marino Caboga,Dramatische Erzählung in drei Handlungen,,1826,22,False,0.805738937704882,0.6017316017316018,1.2722513089005236,several characters,12.636363636363637,2,,1826.0,19,22,2,15,5,,2,,4,0,3,15415,15265,716,331,191
33,birch-pfeiffer-die-walpurgisnacht,ger000151,Birch-Pfeiffer,0,Die Walpurgisnacht,Dramatisches Volksmärchen in vier Acten,,1830,26,False,0.8020790612895876,0.2,2.055384615384616,else,5.0,4,1830,1866.0,19,26,9,13,4,,1,1827,42,0,4,17810,16944,3251,459,120
35,birch-pfeiffer-johannes-gutenberg,ger000411,Birch-Pfeiffer,0,Johannes Gutenberg,Original-Schauspiel in drei Abtheilungen,,1835,14,False,0.6446145124716554,0.4065934065934066,1.6703296703296704,guttenberg,5.285714285714286,3,1835,1836.0,10,14,5,9,0,,1,1834,33,0,5,19071,18578,2981,359,34
36,birch-pfeiffer-pfeffer-roesel,ger000247,Birch-Pfeiffer,0,Pfeffer-Rösel oder Die Frankfurter Messe im Jahre 1297,Schauspiel in fünf Aufzügen,,1829,40,False,0.8337975207059822,0.4141025641025641,1.714102564102564,bandini|roesel,16.15,4,1829,1833.0,32,40,6,31,3,,1,,37,0,5,19919,18380,4849,446,18
39,bleibtreu-weltgericht,ger000065,Bleibtreu,0,Weltgericht,Tragödie in 2 Theilen und 5 Akten,Tragedy,1888,49,False,0.9154854731600832,0.5051020408163265,1.4948979591836735,barras|talleyrand,24.244897959183675,2,1902,1888.0,48,49,6,39,4,,1,,5,0,5,17528,16945,3914,1061,19
50,braun-von-braunthal-faust,ger000204,Braun von Braunthal,0,Faust,Eine Tragödie,Tragedy,1835,36,False,0.8225994684328017,0.238095238095238,2.2111111111111112,faust,8.333333333333334,4,,1835.0,22,36,5,24,7,,1,,31,0,5,19300,18392,2491,0,2702
56,buechner-dantons-tod,ger000085,Büchner,0,Dantons Tod,Ein Drama,,1835,103,False,0.8982694477249267,0.1018465638682657,2.460857409133271,danton,10.388349514563108,4,1902,1835.0,43,103,19,70,14,,4,1835,32,10,4,20263,19903,874,724,41
64,collin-coriolan,ger000474,Collin,0,Coriolan,Ein Trauerspiel in fünf Aufzügen,Tragedy,1802,16,False,0.7598304473304472,0.425,1.575,coriolan,6.375,2,1802,1804.0,15,16,2,14,0,,1,,33,0,5,20006,19579,691,0,2838
66,cronegk-codrus,ger000501,Cronegk,0,Codrus,Ein Trauerspiel in fünf Aufzügen,Tragedy,1758,10,False,0.8176190476190476,0.6,1.4222222222222225,elisinde|codrus,5.4,3,1760,1758.0,8,10,2,8,0,,1,1754,38,0,5,16736,16367,731,0,1874
88,fouque-sigurds-rache,ger000470,Fouqué,0,Sigurds Rache,Ein Heldenspiel in sechs Abentheuren,,1810,50,False,0.8797835618639249,0.3640816326530612,1.6555102040816327,gudruna,17.84,3,,1810.0,44,50,8,41,1,,1,,11,0,6,22288,21664,1008,0,3042
109,goethe-die-natuerliche-tochter,ger000038,Goethe,0,Die natürliche Tochter,Trauerspiel,Tragedy,1803,11,False,0.6588744588744588,0.3272727272727272,1.7636363636363637,eugenie,3.272727272727273,3,1803,1803.0,8,11,3,8,0,,1,1801/1803,28,3,5,20798,20565,516,0,3004
118,goethe-iphigenie-auf-tauris,ger000001,Goethe,0,Iphigenie auf Tauris,Ein Schauspiel,,1787,5,False,1.0,1.0,1.0,several characters,4.0,1,1800,1787.0,4,5,1,4,0,,1,,20,11,5,15153,15042,129,0,2202
133,grabbe-hannibal,ger000393,Grabbe,0,Hannibal,,,1835,118,False,0.923893499033514,0.0901057511227002,2.1894927536231883,hannibal,10.542372881355933,4,1918,1835.0,40,118,11,95,12,,4,1834/1835,28,1,5,17658,17173,1888,927,0
138,grabbe-scherz-satire-ironie-und-tiefere-bedeutung,ger000380,Grabbe,0,"Scherz, Satire, Ironie und tiefere Bedeutung",Ein Lustspiel in drei Aufzügen,Comedy,1827,27,False,0.8635689300576156,0.5014245014245015,1.5071225071225072,schulmeister|mollfels,13.037037037037036,3,1876,1827.0,24,27,3,24,0,,1,1822,14,1,3,17048,16719,1865,582,12
140,grillparzer-der-traum-ein-leben,ger000358,Grillparzer,0,Der Traum ein Leben,Dramatisches Märchen in vier Aufzügen,,1834,17,False,0.8952991452991454,0.6323529411764706,1.3676470588235294,zanga|guelnare|rustan,10.117647058823527,2,1834,1840.0,16,17,4,13,0,,1,1817/1830,4,1,4,18707,18412,3436,0,2914
141,grillparzer-des-meeres-und-der-liebe-wellen,ger000010,Grillparzer,0,Des Meeres und der Liebe Wellen,Trauerspiel in fünf Aufzügen,Tragedy,1831,11,False,1.0,1.0,1.0,several characters,10.0,1,1831,1840.0,10,11,3,7,1,,1,1826/1829,5,0,5,19626,19301,2718,0,2452
142,grillparzer-die-ahnfrau,ger000444,Grillparzer,0,Die Ahnfrau,Trauerspiel in fünf Aufzügen,Tragedy,1817,10,False,0.9071428571428573,0.8666666666666667,1.1333333333333333,hauptmann|guenther|jaromir,7.8,2,1817,1817.0,9,10,2,7,1,,1,1816,5,1,5,19045,18884,1430,0,3442
144,grillparzer-die-juedin-von-toledo,ger000170,Grillparzer,0,Die Jüdin von Toledo,Historisches Trauerspiel in fünf Aufzügen,Tragedy,1851,16,False,0.8502379564879565,0.65,1.35,garceran|koenig,9.75,2,1872,1872.0,15,16,5,10,1,,1,1839/1851,5,2,5,16965,16716,1956,0,2144
146,grillparzer-ein-treuer-diener-seines-herrn,ger000372,Grillparzer,0,Ein treuer Diener seines Herrn,Trauerspiel in fünf Aufzügen,Tragedy,1828,37,False,0.8847414064805369,0.4219219219219219,1.578078078078078,bancbanus|otto,15.18918918918919,2,1828,1830.0,36,37,6,29,2,,1,1826/1827,5,1,5,20229,19954,3152,0,2475
