,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
20,anonimo-cleopatra-e-marc-antonio,ita000021,(Anonimo),0,Cleopatra e Marc'Antonio Tragedia,,,1600,12,False,0.6893518518518519,0.6363636363636364,1.3636363636363635,cleop,7.0,2,,,9,12,3,9,0,,1,1551/1600,22,0.0,0,24373,20337,383,811,0
34,ariosto-cassaria,ita000035,Ariosto,0,Cassaria,,,1508,20,False,0.7067460317460317,0.2684210526315789,2.0526315789473686,trap,5.1,4,1508,,10,20,2,18,0,,1,,30,0.0,5,17125,16610,113,755,0
35,ariosto-i-studenti,ita000036,Ariosto,0,I Studenti,,,1519,12,False,0.5555555555555556,0.2272727272727272,2.108695652173913,accursio|bonifazio,2.5,4,,,5,12,3,9,0,,2,1518/1519,18,0.0,4,12668,11057,48,0,1700
36,ariosto-i-suppositi-red-in-versi,ita000037,Ariosto,0,I Suppositi (red. in versi),,,1529,17,False,0.6060860707919531,0.3235294117647059,1.660377358490566,erostrato,5.176470588235294,3,,,12,17,3,14,0,,2,1529,34,,5,16623,16060,115,0,2532
37,ariosto-i-suppositi,ita000038,Ariosto,0,I suppositi,,,1508,17,False,0.6082930141753671,0.3529411764705882,1.5754716981132075,erost,5.647058823529412,3,1508,,12,17,3,14,0,,2,,28,0.0,5,16579,15951,114,721,0
38,ariosto-il-negromante,ita000039,Ariosto,0,Il Negromante,,,1529,14,False,0.5010204081632653,0.3296703296703296,1.4042553191489362,temolo|nibbio,4.285714285714286,3,1528/1529,1535.0,8,14,4,10,0,,3,1509/1528,25,0.0,5,16492,15833,70,0,2502
39,ariosto-la-cassaria-red-in-versi,ita000040,Ariosto,0,La Cassaria (red. in versi),,,1529,19,False,0.727037290195185,0.2807017543859649,2.0350877192982457,trappola,5.052631578947368,4,1529,,11,19,3,16,0,,1,1528/1529,34,,0,23893,22604,98,0,3531
40,ariosto-la-lena,ita000041,Ariosto,0,La Lena,,,1528,18,False,0.7965367965367965,0.3006535947712418,1.9019607843137252,corbolo,5.111111111111111,3,1528,,11,18,2,16,0,,1,,36,0.0,5,14006,13212,92,0,2042
43,beccari-il-sacrificio-1587,ita000044,Beccari,0,Il sacrificio (1587),,,1587,12,False,0.7023809523809522,0.5,1.108108108108108,several characters,5.5,2,,1587.0,8,12,3,9,0,,3,,33,,5,22174,19448,123,0,2704
73,giraldi-cinzio-egle,ita000074,Giraldi,0,Egle,,,1545,19,False,0.7542827657378742,0.3157894736842105,1.7426900584795322,egle,5.684210526315789,3,,1545.0,17,19,8,11,0,,1,,21,0.0,5,19178,16894,67,0,2411
