,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
21,anonimo-fabula-de-cefalo-e-procris,ita000022,(Anonimo),0,Fabula de Cefalo e Procris,,,1475,3,False,1.0,1.0,1.0,aurora|procris|cefalo,2.0,1,1475,,2,3,2,1,0,,1,,1,0.0,0,919,347,216,0,48
22,anonimo-la-canterina,ita000023,(Anonimo),0,La Canterina,,,1766,4,False,1.0,1.0,1.0,several characters,3.0,1,1766,,3,4,2,2,0,,1,,13,0.0,0,2744,2523,178,0,490
23,anonimo-la-festa-di-susanna,ita000024,(Anonimo),0,La festa di Susanna,,,1465,15,False,1.0,1.0,1.0,several characters,14.0,1,,,14,15,2,12,1,,1,1465,1,0.0,1,4295,3559,651,0,497
24,anonimo-la-rappresentazione-della-nativita-di-nostro-signore-gesu-cristo,ita000025,(Anonimo),0,La rappresentazione della natività di Nostro Signore Gesù Cristo (Stanze della festa di Ottaviano Imperatore),,,1500,16,False,1.0,1.0,1.0,several characters,15.0,1,,,15,16,2,12,2,,1,1401/1500,1,0.0,0,3322,2797,462,0,399
25,anonimo-la-rappresentazione-di-josef-di-jacob-e-de-fratelli,ita000026,(Anonimo),0,"La rappresentazione di Josef, di Jacob e de' fratelli",,,1500,20,False,1.0,1.0,1.0,several characters,19.0,1,,,19,20,1,17,2,,1,1401/1500,1,0.0,0,6063,4588,1381,0,704
26,anonimo-la-rappresentazione-di-moise-e-faraone-re-d-egitto,ita000027,(Anonimo),0,La rappresentazione di Moisè e Faraone re d'Egitto,,,1500,14,False,1.0,1.0,1.0,several characters,13.0,1,,,13,14,8,4,2,,1,1401/1500,1,0.0,0,3618,3121,426,0,440
27,anonimo-la-rappresentazione-di-salamone,ita000028,(Anonimo),0,La rappresentazione di Salamone,,,1470,7,False,1.0,1.0,1.0,several characters,6.0,1,,1470.0,6,7,2,2,3,,1,,1,0.0,0,3720,3317,367,0,456
28,anonimo-la-rappresentazione-di-san-bernardo,ita000029,(Anonimo),0,La rappresentazione di San Bernardo d'uno Signore facea rubare le strade,,,1500,15,False,1.0,1.0,1.0,several characters,14.0,1,,,14,15,1,12,2,,1,1451/1500,1,0.0,0,3926,3572,280,0,520
29,anonimo-la-rappresentazione-di-san-giovanni-battista,ita000030,(Anonimo),0,La rappresentazione di San Giovanni Battista quando fu decollato,,,1451,17,False,1.0,1.0,1.0,several characters,16.0,1,,,16,17,2,13,2,,1,1451,1,0.0,0,5138,4219,827,0,600
30,anonimo-la-veniexiana,ita000031,(Anonimo),0,La veniexiana,,,1536,6,False,1.0,1.0,1.0,several characters,5.0,1,,,5,6,4,2,0,,1,1536,5,0.0,0,9748,8579,98,575,0
31,anonimo-orphei-tragoedia,ita000032,(Anonimo),0,Orphei tragoedia,,,1491,12,False,0.8293650793650794,0.303030303030303,2.212121212121212,orpheus,3.333333333333333,4,,,8,12,6,6,0,,1,1491,5,0.0,0,3027,2840,60,0,422
32,anonimo-quando-iddio-fece-il-mondo-e-l-uomo-e-ogni-cosa-creata,ita000033,(Anonimo),0,Quando Iddio fece il mondo e l'uomo e ogni cosa creata,,,1500,23,False,1.0,1.0,1.0,several characters,22.0,1,,,22,23,1,5,17,,1,1401/1500,1,0.0,0,4703,4188,434,0,608
33,anonimo-representazione-di-febo-e-feton,ita000034,(Anonimo),0,Representazione di Febo e Feton,,,1486,13,False,1.0,1.0,1.0,several characters,12.0,1,1486,,12,13,5,8,0,,1,,1,0.0,0,3997,3558,435,0,475
44,bellincioni-egloga-ovvero-pasturale,ita000045,Bellincioni,0,Egloga ovvero Pasturale,,,1493,7,False,1.0,1.0,1.0,several characters,6.0,1,,1493.0,6,7,1,6,0,,1,1488,1,0.0,0,2036,1832,151,0,268
45,bellincioni-ripresentazione-di-pavia,ita000046,Bellincioni,0,Ripresentazione di Pavia,,,1492,11,False,1.0,1.0,1.0,several characters,10.0,1,,,10,11,1,2,8,,1,1492,1,0.0,0,2402,2127,115,0,316
49,cascina-alfea-reverente,ita000050,Cascina,0,Alfea reverente,,,1639,4,False,1.0,1.0,1.0,several characters,3.0,1,,1639.0,3,4,3,0,1,,1,,1,0.0,0,2896,929,67,0,148
51,cosci-paola-da-buti,ita000052,Cosci,0,Paola da Buti,,,1933,13,False,0.7891275391275392,0.4230769230769231,1.5769230769230769,paola,5.076923076923077,2,1933,,12,14,4,9,1,,1,1930,22,0.0,4,6116,5211,1199,0,905
