,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
44,bossdorf-bahnmeister-dood,ger000199,Boßdorf,0,Bahnmeister Dood,En nedderdüütsch Drama in fief Akten,,1919,4,False,1.0,1.0,1.0,several characters,3.0,1,1919,1919.0,3,4,2,2,0,,1,,5,0,5,19757,19322,3189,747,0
45,bossdorf-de-rode-uennerrock,ger000419,Boßdorf,0,De rode Ünnerrock,Nedderdüütsche Volkskomeedi in fief Akten,Comedy,1921,5,False,1.0,1.0,1.0,several characters,4.0,1,1921,1921.0,4,5,1,4,0,,1,,5,0,5,20281,19966,3869,1114,0
47,brandes-ariadne-auf-naxos,ger000048,Brandes,0,Ariadne auf Naxos,Ein Duodrama mit Musick,,1775,3,True,0.0,0.6666666666666666,1.3333333333333333,ariadne,1.3333333333333333,2,1775,,2,3,2,1,0,,1,,2,4,0,2472,1930,305,0,184
48,brandes-ino,ger000177,Brandes,0,Ino,Ein Melodrama,,1779,9,True,0.6555555555555556,0.3888888888888889,1.9444444444444444,chor,3.111111111111111,4,1779,1779.0,6,9,3,1,5,,1,1777,11,0,0,2468,2096,311,185,52
58,bueschel-die-neue-messaline,ger000483,Büschel,0,Die neue Messaline,Trauerspiel in einem Akt,,1788,11,False,0.6636363636363636,0.2909090909090909,2.022222222222222,messaline|bella,2.909090909090909,4,,1788.0,5,11,2,9,0,,2,,14,0,0,4252,4121,93,85,0
61,busoni-turandot,ger000145,Busoni,0,Turandot,Eine chinesische Fabel nach Gozzi in zwei Akten,,1917,16,True,0.9259615384615384,0.6333333333333333,1.3916666666666666,kalaf,9.5,3,1917,1920.0,14,16,6,9,1,,1,,4,6,2,4506,4221,710,176,352
70,delpons-der-ahnherr,ger000489,d'Elpons,0,Der Ahnherr,Schwank in Einem Aufzuge,Comedy,1819,4,False,1.0,1.0,1.0,several characters,3.0,1,,1819.0,3,4,0,4,0,,1,,10,0,0,3163,3024,237,177,0
85,fock-cili-cohrs,ger000203,Fock,0,Cili Cohrs,Irnsthaftig Spill,,1914,5,False,0.4333333333333334,0.5,1.5,cili,2.0,2,,1914.0,4,5,1,4,0,,1,,10,0,0,5687,5555,372,243,6
93,gehe-jessonda,ger000026,Gehe,0,Jessonda,Oper in drei Aufzügen,,1828,14,True,0.9420579420579422,0.9230769230769232,1.0769230769230769,several characters,12.0,2,1828,,13,14,6,8,0,,1,,3,3,3,5007,4909,33,0,945
102,goethe-das-jahrmarktsfest-zu-plundersweilern,ger000536,Goethe,0,Das Jahrmarktsfest zu Plundersweilern,Ein Schönbartspiel,Comedy,1778,29,False,1.0,1.0,1.0,several characters,28.0,1,1778,1789.0,28,29,7,22,0,,1,1773/1778,1,0,0,4540,4446,244,0,641
