,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
58,de-dottori-aristodemo,ita000059,Dottori,0,Aristodemo,,,1657,12,False,0.6765873015873015,0.4545454545454545,1.6515151515151516,policare|coro,5.0,3,,1670.0,8,12,4,7,1,,1,1657,34,0.0,5,18682,18472,98,0,3113
60,della-valle-la-reina-di-scozia,ita000061,Valle,0,La reina di Scozia,,,1591,11,False,0.8483405483405484,0.5454545454545454,1.4545454545454546,coro,5.454545454545454,2,,1628.0,10,12,3,8,1,,1,1591,14,0.0,5,15723,15585,65,0,2556
73,giraldi-cinzio-egle,ita000074,Giraldi,0,Egle,,,1545,19,False,0.7542827657378742,0.3157894736842105,1.7426900584795322,egle,5.684210526315789,3,,1545.0,17,19,8,11,0,,1,,21,0.0,5,19178,16894,67,0,2411
95,maffei-merope,ita000096,Maffei,0,Merope,,,1713,7,False,0.8857142857142858,0.8095238095238095,1.1904761904761905,egisto|merope|ismene,4.857142857142857,2,1713,1714.0,6,7,2,5,0,,1,1713,31,0.0,5,15482,15301,127,0,2188
96,manzoni-adelchi,ita000097,Manzoni,0,Adelchi,,,1822,36,False,0.8190477006653478,0.1761904761904762,2.425396825396825,adelchi,6.166666666666667,4,1843,1822.0,17,36,5,31,0,,1,1820/1821,39,0.0,5,16899,15606,493,0,2360
97,manzoni-il-conte-di-carmagnola,ita000098,Manzoni,0,Il conte di Carmagnola,,,1820,20,False,0.8226923076923077,0.2,2.1403508771929824,il_conte,3.8,4,1828,1820.0,13,20,2,17,1,,2,1816/1819,24,0.0,6,15547,15191,294,2,2192
99,marchese-l-ermenegildo,ita000100,Marchese,0,L'Ermenegildo,,,1729,9,False,0.8693121693121691,0.8055555555555556,1.1944444444444444,igonda|recaredo,6.444444444444445,2,,1729.0,8,9,1,7,6,,1,,36,0.0,5,21208,20944,79,0,2965
100,martelli-tullia,ita000101,Martelli,0,Tullia,,,1533,11,False,0.9515151515151516,0.9272727272727272,1.0727272727272728,several characters,9.272727272727272,2,,1533.0,10,11,5,5,1,,1,,5,0.0,0,16989,16414,0,0,2342
135,tasso-re-torrismondo,ita000136,Tasso,0,Re Torrismondo,,,1587,13,False,0.7917582417582417,0.3717948717948718,1.7307692307692308,torrismondo,4.461538461538462,3,1618,1587.0,9,13,5,7,1,,1,,34,0.0,5,25478,24763,68,0,3404
136,torelli-la-merope,ita000137,Torelli,0,La Merope,,,1589,8,False,1.0,1.0,1.0,several characters,7.0,1,,1589.0,7,8,3,5,0,,1,,1,0.0,1,19170,18597,10,0,2699
137,trissino-sofonisba,ita000138,Trissino,0,Sofonisba,,,1524,11,False,0.6535353535353535,0.4181818181818181,1.5818181818181818,coro,4.181818181818182,2,1554,1524.0,10,11,4,7,0,,1,1514/1515,15,0.0,5,14582,14453,61,0,2102
