,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
0,alberti-brot,ger000171,Alberti,0,Brot!,Ein soziales Schauspiel in fünf Akten,,1888,49,False,0.8497673123239152,0.3129251700680272,1.751700680272109,muenzer,15.020408163265309,3,,1888.0,40,49,7,24,18,,1,1888,36,0,5,28744,26008,1771,797,12
10,arnim-halle,ger000301,Arnim,0,Halle,Ein Studentenspiel in drei Aufzügen,,1811,81,False,0.8810611079095322,0.145679012345679,2.022530864197531,cardenio,11.65432098765432,4,,1811.0,61,81,14,57,10,,1,,49,1,3,47644,46628,2565,1179,906
11,arnim-jerusalem,ger000195,Arnim,0,Jerusalem,Ein Pilgerabenteuer,,1811,72,False,0.8949685978800663,0.2085289514866979,1.8507005253940456,sidney,14.805555555555555,3,,1811.0,52,72,15,50,7,,2,,13,1,0,29244,28803,1725,784,866
14,avenarius-faust,ger000278,Avenarius,0,Faust,Ein Spiel,,1919,95,False,0.9516021045030358,0.148488241881299,1.81531393568147,faust,13.957894736842103,3,,1919.0,77,95,6,79,10,,2,,12,1,5,26474,25654,3543,94,3008
25,beer-struensee,ger000090,Beer,0,Struensee,Trauerspiel in fünf Aufzügen,Tragedy,1828,57,False,0.8183610716648031,0.1228070175438596,2.6467065868263475,ranzau,6.87719298245614,5,1828,1829.0,19,57,6,48,3,,2,1827,65,0,5,32519,31057,2763,136,3779
30,benkowitz-die-jubelfeier-der-hoelle,ger000314,Benkowitz,0,"Die Jubelfeier der Hölle, oder Faust der jüngere",Ein Drama zum Anfang des neunzehnten Jahrhunderts,,1801,24,False,0.7985825517075518,0.3079710144927536,1.920289855072464,satan,7.083333333333333,3,,1801.0,17,24,4,20,0,,1,,68,0,5,27726,26285,2623,993,7
35,birch-pfeiffer-johannes-gutenberg,ger000411,Birch-Pfeiffer,0,Johannes Gutenberg,Original-Schauspiel in drei Abtheilungen,,1835,14,False,0.6446145124716554,0.4065934065934066,1.6703296703296704,guttenberg,5.285714285714286,3,1835,1836.0,10,14,5,9,0,,1,1834,33,0,5,19071,18578,2981,359,34
36,birch-pfeiffer-pfeffer-roesel,ger000247,Birch-Pfeiffer,0,Pfeffer-Rösel oder Die Frankfurter Messe im Jahre 1297,Schauspiel in fünf Aufzügen,,1829,40,False,0.8337975207059822,0.4141025641025641,1.714102564102564,bandini|roesel,16.15,4,1829,1833.0,32,40,6,31,3,,1,,37,0,5,19919,18380,4849,446,18
38,bleibtreu-ein-faust-der-that,ger000322,Bleibtreu,0,Ein Faust der That,Tragödie in fünf Akten,Tragedy,1889,23,False,0.9106144225945008,0.8300395256916996,1.1699604743083003,several characters,18.26086956521739,2,,1889.0,22,23,0,22,1,,1,,5,0,5,36295,35604,3036,1401,40
46,brachvogel-narziss,ger000473,Brachvogel,0,Narziß,Ein Trauerspiel in fünf Aufzügen,Tragedy,1856,35,False,0.8587271120532088,0.3966386554621848,1.6436974789915966,choiseul,13.485714285714286,3,1856,1857.0,28,35,9,25,1,,1,1855,44,1,5,21928,19117,3124,635,35
