,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
5,anzengruber-der-meineidbauer,ger000054,Anzengruber,0,Der Meineidbauer,Volksstück mit Gesang in drei Akten,,1871,22,False,0.8339703226066862,0.2597402597402597,2.038961038961039,vroni,5.454545454545454,4,1871,1871.0,14,22,10,12,0,,1,,26,1,3,24560,23650,2756,556,73
12,arnim-marino-caboga,ger000270,Arnim,0,Marino Caboga,Dramatische Erzählung in drei Handlungen,,1826,22,False,0.805738937704882,0.6017316017316018,1.2722513089005236,several characters,12.636363636363637,2,,1826.0,19,22,2,15,5,,2,,4,0,3,15415,15265,716,331,191
16,ayrenhoff-virginia,ger000282,Ayrenhoff,0,Virginia oder Das abgeschaffte Decemvirat,Trauerspiel in vier Aufzügen,Tragedy,1790,21,False,0.8257055502853823,0.4809523809523809,1.5380952380952382,ruffus|quintus,9.61904761904762,3,,1790.0,18,21,3,9,9,,1,,29,0,4,16583,15031,908,0,2247
33,birch-pfeiffer-die-walpurgisnacht,ger000151,Birch-Pfeiffer,0,Die Walpurgisnacht,Dramatisches Volksmärchen in vier Acten,,1830,26,False,0.8020790612895876,0.2,2.055384615384616,else,5.0,4,1830,1866.0,19,26,9,13,4,,1,1827,42,0,4,17810,16944,3251,459,120
35,birch-pfeiffer-johannes-gutenberg,ger000411,Birch-Pfeiffer,0,Johannes Gutenberg,Original-Schauspiel in drei Abtheilungen,,1835,14,False,0.6446145124716554,0.4065934065934066,1.6703296703296704,guttenberg,5.285714285714286,3,1835,1836.0,10,14,5,9,0,,1,1834,33,0,5,19071,18578,2981,359,34
36,birch-pfeiffer-pfeffer-roesel,ger000247,Birch-Pfeiffer,0,Pfeffer-Rösel oder Die Frankfurter Messe im Jahre 1297,Schauspiel in fünf Aufzügen,,1829,40,False,0.8337975207059822,0.4141025641025641,1.714102564102564,bandini|roesel,16.15,4,1829,1833.0,32,40,6,31,3,,1,,37,0,5,19919,18380,4849,446,18
39,bleibtreu-weltgericht,ger000065,Bleibtreu,0,Weltgericht,Tragödie in 2 Theilen und 5 Akten,Tragedy,1888,49,False,0.9154854731600832,0.5051020408163265,1.4948979591836735,barras|talleyrand,24.244897959183675,2,1902,1888.0,48,49,6,39,4,,1,,5,0,5,17528,16945,3914,1061,19
50,braun-von-braunthal-faust,ger000204,Braun von Braunthal,0,Faust,Eine Tragödie,Tragedy,1835,36,False,0.8225994684328017,0.238095238095238,2.2111111111111112,faust,8.333333333333334,4,,1835.0,22,36,5,24,7,,1,,31,0,5,19300,18392,2491,0,2702
51,brawe-brutus,ger000472,Brawe,0,Brutus,Ein Trauerspiel in fünf Aufzügen,Tragedy,1768,7,False,0.7095238095238096,0.6190476190476191,1.380952380952381,brutus,3.7142857142857135,2,1770,1768.0,6,7,0,7,0,,1,1757/1758,34,0,5,12593,12267,262,0,1873
66,cronegk-codrus,ger000501,Cronegk,0,Codrus,Ein Trauerspiel in fünf Aufzügen,Tragedy,1758,10,False,0.8176190476190476,0.6,1.4222222222222225,elisinde|codrus,5.4,3,1760,1758.0,8,10,2,8,0,,1,1754,38,0,5,16736,16367,731,0,1874
78,eichendorff-die-freier,ger000118,Eichendorff,0,Die Freier,Lustspiel in drei Aufzügen,Comedy,1833,11,False,0.8383838383838383,0.7636363636363637,1.2545454545454546,several characters,7.636363636363637,3,1849,1833.0,9,11,3,8,0,,1,,10,0,3,15820,15525,1630,479,493
86,fouque-aslauga,ger000471,Fouqué,0,Aslauga,Ein Heldenspiel in drei Abentheuren,,1810,65,False,0.8957293775910545,0.2197115384615384,1.883585564610012,kriegsleute,14.06153846153846,3,,1810.0,35,65,9,51,5,,3,,19,0,3,16506,15731,723,4,2152
98,gerstenberg-ugolino,ger000032,Gerstenberg,0,Ugolino,Eine Tragödie in fünf Aufzügen,Tragedy,1768,4,False,1.0,1.0,1.0,several characters,3.0,1,1769,1768.0,3,4,0,4,0,,1,,5,1,5,15475,15385,926,727,28
118,goethe-iphigenie-auf-tauris,ger000001,Goethe,0,Iphigenie auf Tauris,Ein Schauspiel,,1787,5,False,1.0,1.0,1.0,several characters,4.0,1,1800,1787.0,4,5,1,4,0,,1,,20,11,5,15153,15042,129,0,2202
127,gottsched-der-sterbende-cato,ger000244,Gottsched,0,Der sterbende Cato,Ein Trauerspiel,Tragedy,1731,10,False,0.792142857142857,0.5555555555555556,1.4666666666666666,cato,5.0,3,1731,1732.0,8,10,2,8,0,,1,1730,31,0,5,20073,14889,371,1,1712
131,grabbe-die-hermannsschlacht,ger000516,Grabbe,0,Die Hermannsschlacht,,,1838,106,False,0.9555087487040772,0.1602875112309074,1.8192974013474492,hermann,16.830188679245282,3,1936,1838.0,82,106,6,99,1,,3,1835/1836,17,0,0,16349,15886,1757,776,3
133,grabbe-hannibal,ger000393,Grabbe,0,Hannibal,,,1835,118,False,0.923893499033514,0.0901057511227002,2.1894927536231883,hannibal,10.542372881355933,4,1918,1835.0,40,118,11,95,12,,4,1834/1835,28,1,5,17658,17173,1888,927,0
140,grillparzer-der-traum-ein-leben,ger000358,Grillparzer,0,Der Traum ein Leben,Dramatisches Märchen in vier Aufzügen,,1834,17,False,0.8952991452991454,0.6323529411764706,1.3676470588235294,zanga|guelnare|rustan,10.117647058823527,2,1834,1840.0,16,17,4,13,0,,1,1817/1830,4,1,4,18707,18412,3436,0,2914
