,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
30,anonimo-la-veniexiana,ita000031,(Anonimo),0,La veniexiana,,,1536,6,False,1.0,1.0,1.0,several characters,5.0,1,,,5,6,4,2,0,,1,1536,5,0.0,0,9748,8579,98,575,0
48,carmignani-polissena,ita000049,Carmignani,0,Polissena,,,1789,6,False,0.8388888888888889,0.7333333333333333,1.2666666666666666,arsindo|polissena,3.6666666666666665,2,,1789.0,5,6,2,4,0,,1,,30,0.0,5,17070,14566,1401,0,2179
54,da-ponte-don-giovanni,ita000055,Ponte,0,Don Giovanni,,,1787,12,False,0.7612433862433864,0.5,1.5909090909090908,don_giovanni,5.5,3,1787,,9,12,4,6,2,,1,1787,36,0.0,2,9681,9078,1368,0,1665
59,de-medici-rappresentazione-di-san-giovanni-e-paolo,ita000060,Medici,0,Rappresentazione di san Giovanni e Paolo,,,1491,37,False,1.0,1.0,1.0,several characters,36.0,1,1491,,36,37,7,28,2,,1,1490/1491,1,0.0,0,8866,8635,412,0,1169
66,foscolo-edippo,ita000067,Foscolo,0,Edippo,,,1796,5,False,0.9,0.9,1.1,teseo|antigone|edippo,3.6,2,,1978.0,4,5,1,4,0,,1,1796,18,0.0,4,9582,9306,56,0,1418
101,metastasio-achille-in-sciro,ita000102,Metastasio,0,Achille in Sciro,,,1736,14,False,0.8839493839493839,0.6153846153846154,1.3846153846153846,deidamia|achille,8.0,2,1736,,13,14,2,6,6,,1,,35,0.0,3,10329,8332,1109,0,1511
102,metastasio-adriano-in-siria,ita000103,Metastasio,0,Adriano in Siria,,,1732,7,False,0.8857142857142858,0.8571428571428571,1.1428571428571428,farnaspe|aquilio|adriano,5.142857142857143,2,1732,,6,7,2,5,0,,1,,36,0.0,3,9330,8298,632,0,1501
103,metastasio-alessandro-nell-indie,ita000104,Metastasio,0,Alessandro nell'Indie,,,1730,7,False,1.0,1.0,1.0,several characters,6.0,1,1730,,6,7,3,4,0,,1,1727/1730,40,0.0,3,8463,7640,968,0,1399
104,metastasio-attilio-regolo,ita000105,Metastasio,0,Attilio Regolo,,,1750,9,False,0.8711640211640213,0.75,1.25,licinio,6.0,2,1750,,8,9,2,5,2,,1,1738/1740,33,0.0,3,9516,8770,520,0,1585
105,metastasio-demetrio,ita000106,Metastasio,0,Demetrio,,,1731,7,False,0.9523809523809524,0.9523809523809524,1.0476190476190477,several characters,5.714285714285714,2,1731,,6,7,2,4,1,,1,,45,0.0,3,11808,10798,640,0,1956
106,metastasio-demofoonte,ita000107,Metastasio,0,Demofoonte,,,1733,8,False,0.8702380952380953,0.7857142857142857,1.2142857142857142,dircea|timante,5.5,2,1733,,7,8,2,5,1,,1,,36,0.0,3,10704,9480,576,0,1794
107,metastasio-didone-abbandonata,ita000108,Metastasio,0,Didone abbandonata,,,1724,7,False,0.8571428571428571,0.7142857142857143,1.0,several characters,4.285714285714286,1,1724,,5,7,2,5,0,,2,,53,0.0,3,9930,9013,924,0,1563
108,metastasio-ezio,ita000109,Metastasio,0,Ezio,,,1728,7,False,1.0,1.0,1.0,several characters,6.0,1,1728,,6,7,2,4,1,,1,,44,0.0,3,11857,11258,605,0,1988
109,metastasio-il-re-pastore,ita000110,Metastasio,0,Il re pastore,,,1751,6,False,1.0,1.0,1.0,several characters,5.0,1,1751,,5,6,2,3,1,,1,,25,0.0,3,6773,5765,576,0,1043
110,metastasio-ipermestra,ita000111,Metastasio,0,Ipermestra,,,1744,7,False,0.923809523809524,0.8095238095238095,1.1904761904761905,danao|ipermestra,4.857142857142857,2,1744,,6,8,2,4,2,,1,,30,0.0,3,7647,7015,358,0,1269
111,metastasio-issipile,ita000112,Metastasio,0,Issipile,,,1732,7,False,1.0,1.0,1.0,several characters,6.0,1,1732,,6,7,3,3,1,,1,,37,0.0,3,8782,7796,924,0,1445
112,metastasio-l-eroe-cinese,ita000113,Metastasio,0,L'eroe cinese,,,1752,6,False,1.0,1.0,1.0,several characters,5.0,1,1752,,5,6,2,3,1,,1,,26,0.0,3,7265,6487,602,0,1178
114,metastasio-l-olimpiade,ita000115,Metastasio,0,L'olimpiade,,,1733,10,False,0.9186507936507936,0.8888888888888888,1.1111111111111112,several characters,8.0,2,1733,,9,10,2,6,2,,1,,35,0.0,3,11021,9837,662,0,1785
115,metastasio-nitteti,ita000116,Metastasio,0,Nitteti,,,1756,7,False,1.0,1.0,1.0,several characters,6.0,1,1756,,6,7,2,4,1,,1,,32,0.0,3,9724,8888,1062,0,1538
116,metastasio-romolo-ed-ersilia,ita000117,Metastasio,0,Romolo ed Ersilia,,,1765,7,False,0.7238095238095238,0.7142857142857143,1.2857142857142858,romolo,4.285714285714286,2,1765,,6,7,2,4,1,,1,,27,0.0,3,7659,6700,541,0,1234
117,metastasio-ruggero-ovvero-l-eroica-gratitudine,ita000118,Metastasio,0,Ruggero ovvero l'eroica gratitudine,,,1771,7,False,1.0,1.0,1.0,several characters,6.0,1,1771,,6,7,2,4,1,,1,,29,0.0,3,8456,7925,316,0,1422
118,metastasio-siroe,ita000119,Metastasio,0,Siroe,,,1726,7,False,0.9523809523809524,0.9523809523809524,1.0476190476190477,several characters,5.714285714285714,2,1726,,6,7,2,4,1,,1,,48,0.0,3,10541,9905,507,0,1778
119,metastasio-temistocle,ita000120,Metastasio,0,Temistocle,,,1736,8,False,1.0,1.0,1.0,several characters,7.0,1,1736,,7,8,2,5,1,,1,,37,0.0,3,10495,9579,502,0,1731
120,metastasio-zenobia,ita000121,Metastasio,0,Zenobia,,,1737,7,False,0.8476190476190476,0.7619047619047619,1.238095238095238,tiridate|zenobia,4.571428571428571,2,1737,,6,7,2,4,1,,1,,29,0.0,3,9649,8764,532,0,1554
123,pagano-gli-esuli-tebani,ita000124,Pagano,0,Gli esuli tebani,,,1782,11,False,0.7670995670995672,0.5636363636363636,1.4363636363636365,carone,5.636363636363637,2,,1782.0,10,11,2,8,1,,1,,34,0.0,5,10693,9842,256,1,1491
125,rucellai-rosmunda,ita000126,Rucellai,0,Rosmunda,,,1515,9,False,0.8661375661375662,0.7222222222222222,1.2777777777777777,coro|rosmunda|nutrice,5.777777777777778,2,1515,1525.0,8,9,3,5,1,,1,,5,0.0,0,8520,8470,26,0,1237
133,tasso-galealto,ita000134,Tasso,0,Galealto,,,1574,8,False,0.2916666666666666,0.2142857142857142,1.25,galealto,1.5,2,,,3,8,4,3,1,,3,1573/1574,6,0.0,2,8751,8714,16,0,1211
