Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PROPN,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,NOUN,NOUN,PRON,PUNCT,ADV,NOUN,PRON,PRON
PRON,PRON,PRON,ADV,NOUN,X,PRON,PROPN,ADV,NOUN
ADV,PROPN,DET,PROPN,ADV,ADV,NOUN,PRON,NOUN,ADV
VERB,ADV,VERB,PRON,VERB,NOUN,VERB,ADV,VERB,VERB
DET,DET,ADV,VERB,PROPN,VERB,DET,VERB,DET,DET
PROPN,VERB,ADP,X,DET,PRON,PROPN,DET,AUX,AUX
ADP,ADP,AUX,DET,ADP,ADP,AUX,ADP,PROPN,ADP
AUX,ADJ,PROPN,ADP,AUX,DET,ADP,AUX,ADP,PROPN
CCONJ,AUX,ADJ,AUX,CCONJ,ADJ,CCONJ,CCONJ,CCONJ,CCONJ
