Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PROPN,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,NOUN,NOUN,NOUN,PUNCT,ADV,NOUN,PRON,PRON,PRON
PRON,ADV,PRON,ADV,PRON,X,PRON,PROPN,ADV,NOUN,ADV
ADV,PRON,DET,PROPN,ADV,ADV,NOUN,PRON,NOUN,VERB,NOUN
VERB,PROPN,VERB,PRON,VERB,NOUN,VERB,ADV,VERB,ADV,VERB
DET,VERB,ADV,VERB,DET,VERB,DET,VERB,DET,DET,PROPN
PROPN,DET,ADP,X,PROPN,PRON,PROPN,DET,AUX,AUX,DET
ADP,ADP,AUX,DET,AUX,ADP,AUX,ADP,ADP,ADP,ADP
AUX,AUX,PROPN,ADP,ADP,DET,ADP,AUX,PROPN,PROPN,AUX
CCONJ,ADJ,ADJ,AUX,ADJ,ADJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
