Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PROPN,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,NOUN,NOUN,NOUN,PUNCT,ADV,NOUN,PRON,PRON,PRON,NOUN
PRON,PRON,PRON,ADV,PRON,X,PRON,PRON,ADV,NOUN,ADV,PROPN
ADV,ADV,DET,PROPN,ADV,ADV,NOUN,ADV,NOUN,VERB,NOUN,PRON
VERB,VERB,VERB,PRON,VERB,NOUN,VERB,PROPN,VERB,ADV,VERB,ADV
DET,PROPN,ADV,VERB,DET,VERB,DET,VERB,DET,DET,PROPN,VERB
PROPN,DET,ADP,X,AUX,PRON,PROPN,DET,AUX,AUX,DET,DET
ADP,ADP,AUX,DET,ADP,ADP,AUX,ADP,ADP,ADP,ADP,ADP
AUX,AUX,PROPN,ADP,PROPN,DET,ADP,AUX,PROPN,PROPN,AUX,ADJ
CCONJ,CCONJ,ADJ,AUX,ADJ,ADJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,AUX
