Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PROPN,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,NOUN,NOUN,NOUN,PUNCT,ADV,NOUN,PRON,PRON,PRON,NOUN,NOUN
PRON,ADV,PRON,ADV,PRON,X,PRON,PRON,ADV,NOUN,ADV,PROPN,PRON
ADV,PRON,DET,PROPN,ADV,ADV,NOUN,DET,NOUN,VERB,NOUN,PRON,ADV
VERB,VERB,VERB,PRON,VERB,NOUN,VERB,VERB,VERB,ADV,VERB,ADV,PROPN
DET,PROPN,ADV,VERB,DET,VERB,DET,ADV,DET,DET,PROPN,VERB,VERB
ADP,DET,ADP,X,AUX,PRON,PROPN,PROPN,AUX,AUX,DET,DET,DET
PROPN,ADP,AUX,DET,ADP,ADP,AUX,ADP,ADP,ADP,ADP,ADP,ADP
AUX,AUX,PROPN,ADP,PROPN,DET,ADP,AUX,PROPN,PROPN,AUX,ADJ,AUX
CCONJ,CCONJ,ADJ,AUX,ADJ,ADJ,CCONJ,ADJ,CCONJ,CCONJ,CCONJ,AUX,CCONJ
