Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PROPN,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
PRON,NOUN,NOUN,NOUN,NOUN,PUNCT,ADV,NOUN,PRON,PRON,PRON,NOUN,NOUN,NOUN
NOUN,ADV,PRON,ADV,PRON,X,PRON,PRON,ADV,NOUN,ADV,PROPN,PRON,PRON
ADV,PRON,DET,PROPN,ADV,ADV,NOUN,DET,NOUN,VERB,NOUN,PRON,ADV,ADV
VERB,PROPN,VERB,PRON,VERB,NOUN,VERB,VERB,VERB,ADV,VERB,ADV,PROPN,DET
DET,VERB,ADV,VERB,DET,VERB,DET,ADV,DET,DET,PROPN,VERB,VERB,VERB
ADP,DET,ADP,X,PROPN,PRON,PROPN,PROPN,AUX,AUX,DET,DET,DET,PROPN
PROPN,ADP,AUX,DET,ADP,ADP,AUX,ADP,ADP,ADP,ADP,ADP,ADP,ADP
AUX,CCONJ,PROPN,ADP,AUX,DET,ADP,AUX,PROPN,PROPN,AUX,ADJ,AUX,AUX
CCONJ,AUX,ADJ,AUX,ADJ,ADJ,CCONJ,ADJ,CCONJ,CCONJ,CCONJ,AUX,CCONJ,ADJ
