Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PROPN,PUNCT,PUNCT,PUNCT
NOUN,NOUN,NOUN,NOUN,PRON,PUNCT,ADV,NOUN,PRON
PRON,PRON,PRON,ADV,NOUN,X,PRON,PROPN,ADV
ADV,ADV,VERB,PROPN,ADV,ADV,NOUN,PRON,NOUN
VERB,PROPN,ADV,PRON,VERB,NOUN,VERB,ADV,VERB
DET,DET,DET,VERB,PROPN,VERB,DET,VERB,DET
PROPN,VERB,ADP,X,DET,PRON,PROPN,DET,AUX
ADP,ADP,AUX,DET,ADP,ADP,AUX,ADP,ADP
AUX,ADJ,PROPN,ADP,AUX,DET,ADP,AUX,PROPN
ADJ,AUX,ADJ,AUX,CCONJ,ADJ,CCONJ,CCONJ,CCONJ
