Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,VERB,NOUN,VERB,PROPN,NOUN,NOUN,NOUN,NOUN
VERB,ADP,NOUN,ADP,PRON,NOUN,ADP,ADP,VERB,VERB
ADP,DET,PRON,PRON,NOUN,VERB,DET,DET,ADP,ADP
PRON,VERB,ADP,VERB,ADP,PRON,VERB,VERB,DET,PRON
DET,PRON,DET,DET,DET,ADP,ADJ,PROPN,PRON,DET
ADV,PROPN,ADV,ADV,ADV,DET,PRON,PRON,PROPN,ADV
ADJ,ADJ,PROPN,ADJ,AUX,ADV,ADV,ADJ,ADV,PROPN
PROPN,ADV,AUX,PROPN,PROPN,ADJ,CCONJ,ADV,ADJ,ADJ
CCONJ,CCONJ,ADJ,CCONJ,CCONJ,SCONJ,PROPN,CCONJ,CCONJ,CCONJ
