Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,VERB,NOUN,VERB,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN
ADP,ADP,NOUN,ADP,PRON,NOUN,ADP,VERB,VERB,VERB,ADP
VERB,DET,PRON,PRON,NOUN,VERB,DET,ADP,ADP,PRON,DET
PRON,VERB,ADP,VERB,ADP,PRON,VERB,PRON,DET,ADP,PROPN
DET,PRON,DET,DET,DET,ADP,ADJ,DET,PRON,DET,VERB
ADV,PROPN,ADV,ADV,ADV,DET,PRON,ADV,PROPN,ADV,ADJ
ADJ,ADJ,PROPN,ADJ,AUX,ADV,ADV,ADJ,ADV,PROPN,PRON
PROPN,ADV,AUX,PROPN,PROPN,ADJ,CCONJ,PROPN,ADJ,ADJ,ADV
CCONJ,CCONJ,ADJ,CCONJ,CCONJ,SCONJ,PROPN,CCONJ,CCONJ,CCONJ,CCONJ
