Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,VERB,NOUN,VERB,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
ADP,ADP,NOUN,ADP,PRON,NOUN,ADP,VERB,VERB,VERB,ADP,ADP
VERB,DET,PRON,VERB,NOUN,VERB,DET,ADP,ADP,PRON,DET,PRON
PRON,VERB,ADP,PRON,ADP,PRON,VERB,DET,DET,ADP,PROPN,VERB
DET,PRON,DET,DET,DET,ADP,ADJ,PRON,PRON,DET,VERB,DET
ADV,PROPN,ADV,ADV,ADV,DET,PRON,ADV,PROPN,ADV,ADJ,ADV
ADJ,ADJ,PROPN,ADJ,AUX,ADV,ADV,ADJ,ADV,PROPN,PRON,ADJ
PROPN,ADV,AUX,PROPN,PROPN,ADJ,CCONJ,PROPN,ADJ,ADJ,ADV,PROPN
CCONJ,CCONJ,ADJ,CCONJ,CCONJ,SCONJ,PROPN,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
