Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,NOUN,NOUN,VERB,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB
ADP,ADP,VERB,ADP,PRON,NOUN,ADP,ADP,VERB,VERB,ADP,ADP,NOUN
VERB,DET,PRON,VERB,NOUN,VERB,DET,VERB,ADP,PRON,DET,PRON,PRON
PRON,VERB,ADP,PRON,ADP,PRON,VERB,DET,DET,ADP,PROPN,VERB,ADP
DET,PRON,DET,DET,DET,ADP,ADJ,PRON,PRON,DET,VERB,DET,DET
ADV,PROPN,ADV,ADV,ADV,DET,PRON,ADJ,PROPN,ADV,ADJ,ADV,ADV
ADJ,ADJ,PROPN,ADJ,AUX,ADV,ADV,ADV,ADV,PROPN,PRON,ADJ,AUX
PROPN,ADV,ADJ,PROPN,PROPN,ADJ,CCONJ,PROPN,ADJ,ADJ,ADV,PROPN,PROPN
CCONJ,CCONJ,AUX,CCONJ,CCONJ,SCONJ,PROPN,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,ADJ
