Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,VERB,NOUN,VERB,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,NOUN
ADP,ADP,NOUN,ADP,PRON,NOUN,ADP,ADP,VERB,VERB,ADP,ADP,NOUN,VERB
VERB,DET,PRON,VERB,NOUN,VERB,DET,VERB,ADP,PRON,PROPN,PRON,PRON,ADP
PRON,VERB,ADP,PRON,ADP,PRON,VERB,DET,DET,ADP,DET,VERB,ADP,PRON
DET,PRON,DET,DET,DET,ADP,ADJ,PRON,PRON,DET,VERB,DET,DET,DET
ADJ,PROPN,ADV,ADV,ADV,DET,PRON,ADJ,PROPN,ADV,ADJ,ADV,ADV,ADV
ADV,ADJ,PROPN,ADJ,AUX,ADV,ADV,ADV,ADV,PROPN,PRON,ADJ,AUX,ADJ
PROPN,ADV,AUX,PROPN,PROPN,ADJ,CCONJ,PROPN,ADJ,ADJ,ADV,PROPN,PROPN,PROPN
CCONJ,CCONJ,ADJ,CCONJ,CCONJ,SCONJ,PROPN,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,ADJ,CCONJ
