Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,VERB,NOUN,VERB,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,VERB,NOUN,NOUN
ADP,ADP,NOUN,ADP,PRON,NOUN,VERB,ADP,VERB,VERB,ADP,ADP,NOUN,VERB,ADP
VERB,DET,PRON,VERB,NOUN,VERB,ADP,VERB,ADP,PRON,PROPN,PRON,PRON,ADP,DET
PRON,VERB,ADP,PRON,ADP,PRON,PRON,DET,DET,ADP,DET,VERB,ADP,PRON,VERB
DET,PRON,DET,DET,DET,ADP,DET,PRON,PRON,DET,VERB,DET,DET,DET,ADJ
ADJ,PROPN,ADV,ADV,ADV,DET,ADV,ADJ,PROPN,ADV,ADJ,ADV,ADV,ADV,PRON
ADV,ADJ,PROPN,ADJ,AUX,ADV,ADJ,ADV,ADV,PROPN,PRON,ADJ,AUX,PROPN,ADV
PROPN,ADV,AUX,PROPN,PROPN,ADJ,CCONJ,PROPN,ADJ,ADJ,ADV,PROPN,PROPN,ADJ,CCONJ
CCONJ,CCONJ,ADJ,CCONJ,CCONJ,SCONJ,PROPN,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,ADJ,CCONJ,PROPN
