Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,NOUN,PUNCT
NOUN,NOUN,NOUN,NOUN,PROPN,NOUN,VERB,NOUN,NOUN,NOUN,NOUN,PROPN,NOUN,VERB,VERB,PROPN,NOUN,NOUN,NOUN,PUNCT,NOUN
ADP,ADP,VERB,ADP,NOUN,ADP,NOUN,ADP,ADP,VERB,VERB,NOUN,ADP,NOUN,PRON,NOUN,ADP,VERB,ADP,PRON,VERB
VERB,DET,ADP,VERB,VERB,PRON,PRON,DET,VERB,PRON,ADP,ADP,VERB,PRON,NOUN,VERB,DET,ADP,DET,VERB,ADP
PRON,VERB,PRON,DET,PRON,VERB,ADP,VERB,PRON,ADP,DET,DET,PRON,ADP,ADP,PRON,VERB,PRON,PRON,DET,DET
DET,PRON,DET,PRON,ADP,DET,ADV,PRON,DET,ADV,PRON,ADJ,DET,DET,DET,ADP,ADJ,DET,VERB,ADP,PRON
ADJ,ADJ,ADV,PROPN,DET,ADV,DET,ADJ,ADV,DET,ADJ,VERB,PROPN,ADV,ADV,DET,PRON,ADV,PROPN,PROPN,PROPN
ADV,ADV,PROPN,ADV,ADV,ADJ,PROPN,PROPN,ADJ,PROPN,ADV,PRON,ADV,AUX,AUX,ADV,ADV,ADJ,ADV,ADJ,ADV
PROPN,PROPN,ADJ,ADJ,ADJ,PROPN,AUX,ADV,PROPN,ADJ,CCONJ,ADV,ADJ,PROPN,CCONJ,ADJ,CCONJ,CCONJ,ADJ,ADV,ADJ
CCONJ,CCONJ,CCONJ,CCONJ,SCONJ,CCONJ,ADJ,CCONJ,CCONJ,CCONJ,PROPN,CCONJ,CCONJ,ADJ,PROPN,CCONJ,PROPN,PROPN,CCONJ,CCONJ,AUX
