,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
0,alamanni-tragedia-di-antigone,ita000001,Alamanni,0,Tragedia di Antigone,,,1527,10,False,1.0,1.0,1.0,several characters,9.0,1,,1527.0,9,10,3,7,0,,1,,1,0.0,1,12351,12177,0,0,1692
19,andreini-lo-schiavetto,ita000020,Andreini,0,Lo schiavetto,,,1612,24,False,0.8599951862722762,0.6123188405797102,1.391304347826087,nottola,14.083333333333334,3,,1612.0,22,24,2,21,1,,1,,46,0.0,5,41472,38458,243,1659,40
20,anonimo-cleopatra-e-marc-antonio,ita000021,(Anonimo),0,Cleopatra e Marc'Antonio Tragedia,,,1600,12,False,0.6893518518518519,0.6363636363636364,1.3636363636363635,cleop,7.0,2,,,9,12,3,9,0,,1,1551/1600,22,0.0,0,24373,20337,383,811,0
21,anonimo-fabula-de-cefalo-e-procris,ita000022,(Anonimo),0,Fabula de Cefalo e Procris,,,1475,3,False,1.0,1.0,1.0,aurora|procris|cefalo,2.0,1,1475,,2,3,2,1,0,,1,,1,0.0,0,919,347,216,0,48
24,anonimo-la-rappresentazione-della-nativita-di-nostro-signore-gesu-cristo,ita000025,(Anonimo),0,La rappresentazione della natività di Nostro Signore Gesù Cristo (Stanze della festa di Ottaviano Imperatore),,,1500,16,False,1.0,1.0,1.0,several characters,15.0,1,,,15,16,2,12,2,,1,1401/1500,1,0.0,0,3322,2797,462,0,399
25,anonimo-la-rappresentazione-di-josef-di-jacob-e-de-fratelli,ita000026,(Anonimo),0,"La rappresentazione di Josef, di Jacob e de' fratelli",,,1500,20,False,1.0,1.0,1.0,several characters,19.0,1,,,19,20,1,17,2,,1,1401/1500,1,0.0,0,6063,4588,1381,0,704
26,anonimo-la-rappresentazione-di-moise-e-faraone-re-d-egitto,ita000027,(Anonimo),0,La rappresentazione di Moisè e Faraone re d'Egitto,,,1500,14,False,1.0,1.0,1.0,several characters,13.0,1,,,13,14,8,4,2,,1,1401/1500,1,0.0,0,3618,3121,426,0,440
27,anonimo-la-rappresentazione-di-salamone,ita000028,(Anonimo),0,La rappresentazione di Salamone,,,1470,7,False,1.0,1.0,1.0,several characters,6.0,1,,1470.0,6,7,2,2,3,,1,,1,0.0,0,3720,3317,367,0,456
28,anonimo-la-rappresentazione-di-san-bernardo,ita000029,(Anonimo),0,La rappresentazione di San Bernardo d'uno Signore facea rubare le strade,,,1500,15,False,1.0,1.0,1.0,several characters,14.0,1,,,14,15,1,12,2,,1,1451/1500,1,0.0,0,3926,3572,280,0,520
29,anonimo-la-rappresentazione-di-san-giovanni-battista,ita000030,(Anonimo),0,La rappresentazione di San Giovanni Battista quando fu decollato,,,1451,17,False,1.0,1.0,1.0,several characters,16.0,1,,,16,17,2,13,2,,1,1451,1,0.0,0,5138,4219,827,0,600
31,anonimo-orphei-tragoedia,ita000032,(Anonimo),0,Orphei tragoedia,,,1491,12,False,0.8293650793650794,0.303030303030303,2.212121212121212,orpheus,3.333333333333333,4,,,8,12,6,6,0,,1,1491,5,0.0,0,3027,2840,60,0,422
