Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
NOUN,NOUN,NOUN,NOUN,VERB,PROPN,NOUN,NOUN,NOUN
VERB,ADP,VERB,ADP,PRON,NOUN,ADP,VERB,VERB
ADP,DET,PRON,PRON,NOUN,VERB,DET,ADP,ADP
PRON,VERB,ADP,VERB,ADP,PRON,VERB,PRON,DET
DET,PROPN,DET,DET,DET,ADP,ADJ,DET,PRON
ADV,PRON,ADV,ADV,ADV,DET,PRON,ADV,PROPN
ADJ,ADJ,PROPN,ADJ,AUX,ADV,ADV,ADJ,ADV
PROPN,ADV,AUX,PROPN,PROPN,ADJ,CCONJ,PROPN,ADJ
CCONJ,CCONJ,ADJ,CCONJ,CCONJ,SCONJ,PROPN,CCONJ,CCONJ
