Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
der,ich,ich,der,der,ich,ich,nich,ich,det,der,der,ich
ich,der,der,ich,ich,der,der,wat,der,ick,ich,ich,der
sich,sich,sich,sich,sich,sich,sich,de,sich,der,sich,sich,sich
und,und,und,mein,und,sein,sein,un,sein,ich,und,und,sein
mein,sein,mein,und,mein,mein,und,mi,und,nich,mein,mein,mein
sein,mein,sein,sein,sein,und,mein,is,mein,se,sein,sein,und
nicht,du,nicht,in,nicht,nicht,nicht,di,nicht,wat,nicht,nicht,nicht
du,nicht,du,nicht,zu,haben,du,ick,einen,is,du,in,haben
zu,zu,zu,du,in,einen,zu,jo,haben,sich,zu,zu,zu
einen,so,in,zu,du,so,so,se,du,ooch,in,einen,einen
in,in,einen,einen,so,zu,einen,em,so,de,einen,du,so
so,einen,haben,mit,einen,du,haben,en,zu,sein,so,mit,werden
haben,haben,so,so,haben,in,in,du,in,und,was,haben,du
wie,was,was,wie,wie,werden,was,he,was,haben,wie,so,in
was,wie,wie,auf,mit,was,wie,nu,werden,in,mit,wie,daß
mit,mit,mit,dies,was,meinen,mit,nee,ja,nu,meinen,was,was
meinen,meinen,von,von,von,daß,meinen,denn,meinen,mein,von,von,wollen
von,werden,daß,aus,dies,aber,is,so,wie,un,haben,auf,können
werden,von,wollen,meinen,meinen,ja,daß,dien,mit,et,doch,werden,wenn
daß,is,werden,mägdlein,doch,wenn,werden,na,is,herr,auf,daß,meinen
