Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
ich,ich,der,der,ich,der
der,der,ich,ich,der,ich
sich,sich,sich,sich,sich,sich
sein,sein,und,und,sein,und
und,und,sein,mein,mein,mein
mein,mein,mein,sein,und,sein
nicht,du,nicht,nicht,nicht,nicht
du,nicht,zu,in,haben,du
einen,so,in,zu,zu,zu
haben,zu,du,du,einen,in
zu,in,einen,so,so,einen
so,einen,haben,einen,du,so
in,haben,so,wie,werden,haben
was,is,wie,haben,in,was
wie,was,mit,mit,daß,mit
meinen,wie,was,dies,was,wie
mit,mit,werden,von,wollen,von
werden,meinen,von,was,meinen,meinen
daß,nich,daß,doch,wenn,auf
von,doch,auf,daß,mit,werden
