Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
ich,ich,der,der,ich,der,ich
der,der,ich,ich,der,ich,der
sich,sich,sich,sich,sich,sich,sich
sein,sein,und,und,sein,und,sein
und,und,sein,mein,mein,mein,und
mein,mein,mein,sein,und,sein,mein
nicht,du,nicht,nicht,nicht,nicht,nicht
du,nicht,zu,in,haben,du,haben
einen,so,in,zu,zu,zu,du
zu,zu,einen,du,einen,in,einen
in,einen,du,so,so,einen,so
so,in,haben,einen,du,so,zu
haben,haben,so,wie,werden,mit,in
was,was,wie,haben,in,was,was
wie,wie,mit,mit,daß,wie,werden
meinen,is,was,dies,was,haben,meinen
mit,mit,von,von,wollen,von,daß
von,meinen,werden,was,meinen,auf,wie
daß,de,auf,doch,wenn,meinen,mit
werden,doch,daß,daß,können,daß,ja
