Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
ich,ich,der,der,ich,ich,ich,nich
der,der,ich,ich,der,der,der,wat
sich,sich,sich,sich,sich,sich,sich,de
sein,sein,und,mein,sein,sein,sein,un
und,und,mein,und,und,mein,und,mi
mein,mein,sein,sein,mein,und,mein,is
nicht,nicht,nicht,in,nicht,nicht,nicht,di
du,du,zu,nicht,zu,haben,du,ick
einen,zu,in,du,du,zu,einen,jo
zu,so,du,zu,in,so,zu,se
haben,einen,einen,einen,so,einen,so,em
so,in,so,mit,einen,du,haben,en
in,haben,mit,so,haben,werden,in,du
was,was,haben,wie,wie,in,was,he
wie,wie,wie,auf,mit,daß,wie,nu
meinen,mit,was,dies,was,was,meinen,nee
mit,meinen,von,von,von,wollen,mit,denn
werden,werden,auf,aus,daß,meinen,werden,so
daß,wollen,werden,meinen,werden,mit,von,dien
von,von,daß,mägdlein,dies,wenn,daß,na
