Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
ich,ich,der,der,der,ich,ich,nich,ich
der,der,ich,ich,ich,der,der,wat,der
sich,sich,sich,sich,sich,sich,sich,de,sich
sein,und,und,mein,und,sein,sein,un,und
mein,sein,mein,und,mein,mein,und,mi,sein
und,mein,sein,sein,sein,und,mein,is,mein
nicht,nicht,nicht,in,nicht,nicht,nicht,di,nicht
haben,du,zu,nicht,zu,zu,du,ick,du
du,zu,in,du,in,haben,einen,jo,einen
einen,so,du,zu,du,einen,so,se,zu
so,einen,einen,einen,so,so,haben,em,in
zu,in,so,mit,einen,du,zu,en,so
in,haben,mit,so,haben,werden,in,du,haben
werden,was,haben,wie,wie,in,was,he,was
was,wie,wie,auf,mit,daß,wie,nu,wie
meinen,mit,was,dies,was,was,is,nee,mit
daß,meinen,von,von,von,wollen,mit,denn,meinen
mit,werden,auf,aus,dies,können,meinen,so,von
wollen,von,werden,meinen,meinen,wenn,ja,dien,daß
wie,wollen,daß,mägdlein,doch,meinen,daß,na,auf
