Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
il,il,il,il,et,il,il,il,il,il
che,che,di,che,il,che,che,che,che,essere
essere,di,che,essere,che,essere,el,essere,essere,che
di,essere,essere,di,non,di,no,di,non,non
non,non,non,non,essere,non,mi,non,di,avere
avere,in,io,io,di,io,avere,de,mio,di
in,ch,in,avere,ch,avere,de,avere,io,lo
mio,avere,mio,fare,si,in,se,me,in,uno
fare,si,tuo,mi,io,mi,uno,mio,mi,fare
el,io,al,per,in,uno,lo,io,uno,mi
per,mio,tu,in,mi,fare,essere,fare,avere,per
io,per,mi,mio,avere,per,me,signora,tuo,io
mi,mi,uno,uno,per,ch,mo,per,per,in
uno,molto,ma,questo,fare,questo,in,mi,se,se
ch,al,molto,dire,uno,lo,ve,lo,al,mio
se,questo,del,si,questo,si,per,in,si,volere
questo,da,ti,lo,se,mio,qua,signore,questo,dire
con,uno,avere,volere,ne,et,da,da,ma,signora
tuo,ma,me,ch,mio,se,fare,se,ti,signore
tu,fare,si,se,ti,tu,co,con,molto,si
