Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
il,il,il,il,et,che,il,il,il,il,che,il
che,che,di,che,il,il,che,che,che,essere,il,che
essere,di,che,essere,che,essere,el,essere,essere,che,essere,di
di,essere,io,di,non,non,no,di,di,non,di,essere
non,non,essere,non,essere,di,mi,non,non,avere,non,non
in,avere,non,io,di,avere,avere,de,mio,di,io,io
avere,in,in,avere,ch,io,de,avere,io,lo,mi,in
mio,ch,mio,fare,si,in,se,me,in,uno,avere,mio
io,si,tu,per,io,fare,uno,mio,mi,fare,in,uno
fare,io,tuo,mi,in,mi,lo,io,uno,mi,fare,mi
mi,per,al,in,mi,per,essere,fare,per,per,per,si
per,mio,mi,mio,avere,uno,me,signora,tuo,io,mio,ch
el,mi,ma,uno,per,lo,mo,per,avere,in,si,avere
uno,reina,me,questo,fare,questo,in,mi,al,se,dire,al
ch,molto,molto,ch,uno,se,ve,lo,se,mio,uno,per
se,questo,or,dire,questo,et,per,in,si,volere,se,tuo
tuo,fare,ei,si,se,tu,qua,signore,questo,dire,lo,molto
questo,et,ti,volere,ne,ch,da,da,ma,signora,questo,questo
tu,ma,avere,lo,mio,molto,fare,se,ti,signore,ma,ma
ti,da,del,voi,ti,el,co,con,molto,si,volere,tu
