Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14
il,il,il,il,il,che,il,il,il,il,che,il,il,et,il
che,che,di,che,che,il,che,che,che,essere,il,che,essere,il,che
essere,di,io,essere,et,essere,no,essere,essere,che,essere,di,che,che,essere
di,essere,che,di,essere,non,el,di,di,el,di,essere,non,non,non
non,non,essere,non,non,di,de,non,non,avere,non,non,avere,essere,el
in,avere,non,io,di,avere,avere,de,mio,lo,io,io,di,di,in
avere,in,in,avere,io,io,mi,avere,io,uno,mi,in,lo,ch,di
mio,ch,tu,fare,mi,in,se,me,in,non,avere,mio,uno,si,avere
io,si,mio,per,questo,fare,lo,mio,mi,mi,in,uno,fare,in,uno
fare,io,tuo,mi,avere,per,uno,io,uno,di,fare,mi,mi,io,mi
mi,per,al,in,in,mi,me,fare,tuo,no,per,si,per,avere,io
per,mio,mi,mio,fare,lo,mo,signora,al,se,mio,ch,io,per,per
el,mi,ma,uno,si,uno,essere,per,si,me,si,avere,in,ne,mio
uno,reina,me,questo,mio,questo,ve,mi,se,fare,dire,al,volere,uno,se
ch,molto,or,ch,per,tu,in,lo,per,per,uno,per,dire,fare,fare
se,questo,ei,dire,uno,se,qua,in,ti,de,se,tuo,signora,mi,questo
tuo,fare,molto,si,ch,el,per,signore,del,in,lo,molto,mio,se,de
questo,et,avere,volere,molto,ch,da,da,ma,mio,questo,questo,se,questo,lo
tu,ma,ti,lo,se,molto,co,se,ah,da,ma,ma,si,de,me
ti,da,del,voi,volere,si,sapere,con,avere,io,volere,tu,signore,noi,molto
