Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20
il,il,il,il,che,il,il,et,che,il,il,il,il,il,il,il,che,il,il,il,il
che,che,di,che,il,che,che,il,il,che,che,essere,che,che,essere,che,il,di,che,che,che
essere,di,io,essere,essere,el,essere,che,essere,essere,di,che,essere,di,che,essere,essere,che,essere,di,no
di,essere,che,di,non,no,di,non,di,di,essere,non,di,essere,non,di,non,essere,di,essere,el
non,non,essere,non,di,de,non,essere,non,non,reina,avere,non,in,di,non,el,non,non,non,mi
avere,avere,non,io,avere,mi,de,di,io,mio,si,di,io,tuo,io,avere,io,uno,reina,io,avere
in,ch,in,avere,io,avere,avere,ch,mi,io,mio,lo,fare,non,avere,ch,di,io,in,ch,de
mio,in,tu,fare,in,se,me,si,avere,in,ch,uno,questo,mio,fare,in,avere,in,per,et,essere
el,si,mio,per,fare,uno,mio,in,in,mi,non,fare,avere,io,per,ninfa,in,mio,fare,in,se
mi,io,tuo,mi,et,lo,io,io,fare,uno,in,mi,per,al,mi,io,per,mi,io,mio,uno
per,mio,al,in,lo,me,fare,avere,per,tuo,mi,per,signore,si,vostro,mi,fare,al,si,si,me
io,mi,mi,mio,mi,mo,signora,per,mio,al,avere,io,in,molto,mio,si,uno,del,questo,mi,lo
fare,per,ma,dire,uno,essere,per,ne,si,se,per,in,uno,suo,uno,uno,lo,si,avere,per,mo
uno,molto,me,uno,questo,in,mi,uno,dire,per,io,se,mi,mi,ch,fare,mi,tuo,mio,uno,in
se,questo,or,tu,per,ve,lo,fare,uno,si,con,mio,si,da,in,questo,questo,avere,con,avere,da
ch,ma,ei,voi,molto,qua,in,mi,se,avere,al,volere,sù,uno,signore,per,se,lo,mi,questo,ve
questo,fare,molto,ch,ch,per,signore,se,lo,ma,de,dire,mio,per,lo,molto,mio,per,molto,molto,per
ti,et,avere,si,si,vol,da,questo,questo,del,ma,signora,volere,ch,questo,mio,tu,questo,da,al,fare
tuo,al,ti,questo,tu,sapere,se,de,ma,ti,da,signore,dire,avere,volere,ti,de,ma,vostro,tu,qua
tu,de,del,volere,se,da,con,noi,volere,questo,tuo,si,molto,ed,dire,se,ch,tu,vi,ma,via
