Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
il,il,il,il,il,il
che,che,che,che,che,che
essere,essere,essere,di,essere,essere
di,di,di,essere,di,non
non,et,non,non,non,avere
avere,non,io,io,io,di
in,avere,in,in,avere,io
mio,ch,mio,mio,fare,lo
el,in,mi,mi,mi,uno
mi,si,tuo,uno,per,mi
per,io,uno,si,in,fare
io,per,al,ch,mio,in
fare,mi,avere,avere,uno,per
uno,mio,tu,al,questo,se
se,fare,ma,per,dire,el
ch,questo,per,molto,si,mio
questo,uno,se,questo,lo,questo
ti,ma,me,tuo,volere,dire
tuo,da,molto,ma,se,si
tu,se,ti,tu,da,volere
