Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
il,il,il,il,il,il,che
che,che,che,che,che,essere,il
essere,essere,di,di,essere,che,essere
di,di,essere,essere,di,non,avere
non,et,non,non,non,avere,non
avere,non,io,io,io,di,di
in,avere,in,in,avere,lo,el
mio,ch,mio,mio,fare,uno,io
el,in,mi,mi,mi,fare,in
mi,si,tuo,uno,per,mi,mi
per,io,al,si,in,per,uno
io,per,uno,ch,mio,io,lo
fare,mi,tu,avere,uno,in,fare
uno,mio,ma,al,questo,se,per
se,fare,avere,per,dire,mio,se
ch,questo,per,molto,si,volere,de
questo,uno,molto,questo,lo,dire,no
ti,ma,ti,tuo,volere,si,questo
tuo,da,si,ma,se,signora,mio
tu,se,me,tu,da,signore,me
