Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7
il,il,il,il,et,il,il,il
che,che,che,che,il,che,che,che
essere,di,di,essere,che,essere,el,essere
non,essere,essere,di,essere,non,no,di
di,non,non,non,non,di,mi,non
in,in,io,io,di,avere,avere,de
mio,ch,in,avere,io,io,de,avere
avere,avere,mio,fare,si,uno,se,me
mi,io,mi,mi,ch,lo,uno,mio
io,si,tuo,per,in,in,lo,io
el,mio,al,in,mi,fare,essere,fare
per,per,uno,mio,avere,mi,me,signora
uno,mi,tu,uno,questo,per,mo,per
fare,molto,ma,questo,per,se,in,mi
se,al,avere,dire,fare,questo,ve,lo
ch,questo,si,si,uno,mio,per,in
questo,fare,per,lo,se,si,qua,signore
ti,uno,molto,volere,mio,dire,da,da
tuo,da,ti,ch,ne,volere,fare,se
tu,ma,se,se,ti,ma,co,con
