Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8
il,il,il,il,et,il,il,il,il
che,che,di,che,il,che,che,che,che
essere,di,che,essere,che,essere,el,essere,essere
di,essere,essere,di,essere,non,no,di,non
non,non,non,non,non,di,mi,non,di
avere,in,io,io,di,avere,avere,de,mio
in,ch,in,avere,io,io,de,avere,io
mio,avere,mio,fare,si,uno,se,me,in
fare,io,mi,mi,ch,lo,uno,mio,mi
el,si,tu,per,in,in,lo,io,uno
per,mio,tuo,in,mi,fare,essere,fare,avere
io,per,al,mio,avere,mi,me,signora,tuo
mi,mi,uno,uno,questo,per,mo,per,per
uno,molto,ma,questo,per,se,in,mi,se
ch,al,molto,dire,fare,questo,ve,lo,al
se,questo,ch,si,uno,mio,per,in,si
questo,fare,si,lo,se,si,qua,signore,questo
con,uno,del,volere,mio,dire,da,da,ma
tuo,da,avere,ch,ne,volere,fare,se,ti
tu,ma,ti,se,ti,ma,co,con,molto
